dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,0,Buyer,valid,"HI, what color is the phone?",Inquiring about the color of the phone
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,1,Seller,valid,white,Providing information about the phone's color
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,2,Buyer,valid,Any scratches or scuffs?,Asking about the condition of the phone
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,3,Seller,valid,a few dings around the edges from cases but the screen only has minor wear. A screen cover was generally on it,Describing the phone's condition
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,4,Buyer,valid,Are you including the case with the phone?,Inquiring if the case is included with the phone
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,5,Seller,valid,I have 3 cases I'll throw in.,Offering to include three cases with the phone
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,6,Buyer,valid,Awesome. How much are you asking for it?,Asking for the price of the phone
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,7,Seller,valid,$90.00,Stating the price of the phone
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,8,Buyer,valid,that's not bad. How would I get the phone?,Expressing interest and asking about the method of receiving the phone
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,9,Seller,valid,I can meet locally at the AT&T store or gas station locally,Offering local meeting options for the transaction
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,10,Buyer,valid,Would you be willing to ship it? I'm out of state for a few weeks but i would like the phone.,Requesting if shipping is an option due to being out of state
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,11,Seller,valid,I can arrange that too and take payment through paypal. Sound like a deal?,Agreeing to ship and suggesting payment through PayPal
res_CB,C_47bbc36b6fcf44468b28548c085ba67a,12,Buyer,valid,deal,Agreeing to the deal
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,0,Buyer,valid,i need a apartment but cant aford the price,Expressing a need and financial constraint
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,1,Seller,valid,"Well, what can you afford?",Inquiring about the buyer's budget
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,2,Buyer,valid,what the apartment near,Asking about the apartment's location
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,3,Seller,valid,It is near the BART. 2 minutes from Berkley and close to tons of shops and restaurants.,Providing information about the apartment's location and nearby amenities
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,4,Buyer,valid,what the price range,Inquiring about the price range
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,5,Seller,valid,"It rents for $1915, but I would be willing to less if you take it unfurnished.",Stating the rental price and offering a potential discount for an unfurnished option
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,6,Buyer,valid,whats the unfirished price,Asking for the price of the unfurnished apartment
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,7,Seller,valid,1700,Providing the price for the unfurnished apartment
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,8,Buyer,valid,cool that's in my budget of $1761,Expressing satisfaction that the unfurnished price fits within their budget
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,9,Buyer,valid,when can i com see it,Requesting a viewing appointment
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,10,Seller,valid,I can do a viewing at 7pm tonight,Offering a specific time for the viewing
res_CB,C_f5aafc1beec24fd5831beba94dcfd840,11,Buyer,valid,okay that works for me see you then thanks,Confirming the appointment and expressing gratitude
