dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention,donation_amount,donation_made
P4G,20180717-200206_41_live,0,ER,valid,"Hey, how are you doing, have you ever heard of a charity called Save the Children?",Initiate conversation and introduce the topic of a charity,0.5,1
P4G,20180717-200206_41_live,1,EE,valid,No I havent.,Respond to the question and indicate lack of knowledge about the charity,0.5,1
P4G,20180717-200206_41_live,2,EE,valid,What is it about?,Request more information about the charity,0.5,1
P4G,20180717-200206_41_live,3,ER,valid,"It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?",Provide information about the charity and gauge interest,0.5,1
P4G,20180717-200206_41_live,4,EE,valid,No thank you.,Decline interest in the charity,0.5,1
P4G,20180717-200206_41_live,5,ER,valid,May I ask why?,Seek reasons for the lack of interest,0.5,1
P4G,20180717-200206_41_live,6,ER,valid,"Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?",Attempt to persuade by emphasizing the impact of the help,0.5,1
P4G,20180717-200206_41_live,7,EE,valid,I am already making a difference in many children lives.,State current involvement in helping children,0.5,1
P4G,20180717-200206_41_live,8,ER,valid,"That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?",Acknowledge the effort and suggest contributing to the specific charity,0.5,1
P4G,20180717-200206_41_live,9,EE,valid,I have donated 15 years of my life to charity,Highlight past significant contributions to charity,0.5,1
P4G,20180717-200206_41_live,10,ER,valid,"I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight?",Clarify the request for a small monetary donation,0.5,1
P4G,20180717-200206_41_live,11,EE,valid,No thank you,Decline the request again,0.5,1
P4G,20180717-200206_41_live,12,ER,valid,"You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world?",Attempt to persuade by suggesting the affordability of a small donation,0.5,1
P4G,20180719-120436_413_live,0,ER,train,Hi there,Greeting the other person,0.0,0
P4G,20180719-120436_413_live,1,EE,train,Hello,Responding to the greeting,0.0,0
P4G,20180719-120436_413_live,2,ER,train,Have you heard of the Save the Children charity?,Introducing the topic of the Save the Children charity,0.0,0
P4G,20180719-120436_413_live,3,EE,train,I actually have not.,Expressing lack of knowledge about the charity,0.0,0
P4G,20180719-120436_413_live,4,EE,train,What do they do to help children?,Inquiring about the charity's activities,0.0,0
P4G,20180719-120436_413_live,5,ER,train,"It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.",Providing information about the charity's mission and activities,0.0,0
P4G,20180719-120436_413_live,6,EE,train,I'm glad a charity like that exists internationally.,Expressing approval of the charity's existence,0.0,0
P4G,20180719-120436_413_live,7,ER,train,It's for a great cause.,Affirming the value of the charity's cause,0.0,0
