Info,Measure,0.25,0.375,0.5,0.625,0.75
UTT,MF1,38.12 ± 0.00,38.12 ± 0.00,39.58 ± 2.07,41.57 ± 3.07,40.77 ± 2.11
UTT,RMSE Score,7.52 ± 0.09,7.46 ± 0.09,7.52 ± 0.26,7.56 ± 0.31,7.58 ± 0.20
UTT+ INT,MF1,38.25 ± 0.24,38.60 ± 0.38,40.47 ± 2.39,41.12 ± 2.26,46.26 ± 1.20
UTT+ INT,RMSE Score,7.71 ± 0.29,7.48 ± 0.17,7.40 ± 0.14,7.37 ± 0.23,7.31 ± 0.12
UTT + Trad,MF1,44.03 ± 1.03,41.97 ± 0.09,43.71 ± 2.27,44.22 ± 2.88,47.15 ± 5.08
UTT + Trad,RMSE Score,7.49 ± 0.08,7.44 ± 0.08,7.45 ± 0.04,7.32 ± 0.02,7.23 ± 0.06
UTT + SCD,MF1,44.94 ± 1.35,42.35 ± 1.17,43.69 ± 1.49,44.24 ± 3.31,47.88 ± 3.62
UTT + SCD,RMSE Score,7.52 ± 0.11,7.41 ± 0.08,7.41 ± 0.04,7.32 ± 0.06,7.22 ± 0.09
UTT + SCM,MF1,46.42 ± 1.12,43.53 ± 1.06,42.15 ± 0.28,44.60 ± 4.64,44.53 ± 4.20
UTT + SCM,RMSE Score,7.54 ± 0.09,7.38 ± 0.06,7.44 ± 0.07,7.32 ± 0.08,7.22 ± 0.04
UTT+ INT + SCD,MF1,40.88 ± 0.18,41.19 ± 1.22,41.21 ± 2.19,42.02 ± 3.97,43.02 ± 3.30
UTT+ INT + SCD,RMSE Score,7.43 ± 0.08,7.42 ± 0.13,7.37 ± 0.10,7.25 ± 0.05,7.28 ± 0.11
UTT + INT + SCM,MF1,41.26 ± 0.30,41.94 ± 1.14,41.00 ± 0.95,43.45 ± 4.65,43.61 ± 6.49
UTT + INT + SCM,RMSE Score,7.46 ± 0.05,7.39 ± 0.10,7.36 ± 0.06,7.36 ± 0.09,7.24 ± 0.05
UTT + INT + Trad,MF1,44.33 ± 2.35,42.81 ± 1.47,41.67 ± 1.94,41.34 ± 2.56,42.41 ± 2.41
UTT + INT + Trad,RMSE Score,7.42 ± 0.05,7.42 ± 0.12,7.36 ± 0.04,7.34 ± 0.11,7.32 ± 0.19
