Info,Measure,0.25,0.375,0.5,0.625,0.75
UTT,MF1,56.72 ± 3.22,59.04 ± 1.67,64.28 ± 1.08,62.55 ± 2.07,63.35 ± 0.83
UTT,BS,32.72 ± 2.03,31.05 ± 2.00,29.47 ± 2.72,30.42 ± 2.27,27.60 ± 0.90
UTT+ INT,MF1,60.35 ± 1.88,61.50 ± 0.12,63.09 ± 0.71,62.93 ± 1.06,64.18 ± 0.55
UTT+ INT,BS,33.70 ± 1.39,32.12 ± 0.62,27.73 ± 0.27,28.97 ± 3.58,28.73 ± 0.98
UTT + Trad,MF1,61.13 ± 0.98,63.50 ± 1.14,62.83 ± 1.51,62.13 ± 1.55,65.21 ± 0.90
UTT + Trad,BS,32.96 ± 2.04,32.67 ± 0.34,27.99 ± 2.16,27.43 ± 1.35,25.79 ± 0.55
UTT + SCD,MF1,60.99 ± 1.10,61.73 ± 1.67,62.09 ± 1.72,63.22 ± 0.63,65.72 ± 0.95
UTT + SCD,BS,32.85 ± 1.79,32.37 ± 1.75,29.39 ± 0.86,27.81 ± 2.51,29.75 ± 2.87
UTT + SCM,MF1,61.06 ± 0.27,60.63 ± 0.69,63.16 ± 0.36,62.20 ± 0.85,65.07 ± 1.95
UTT + SCM,BS,34.55 ± 2.49,34.08 ± 0.29,30.62 ± 4.65,28.88 ± 3.34,28.04 ± 1.15
UTT+ INT + SCD,MF1,63.18 ± 0.77,60.30 ± 1.59,63.18 ± 1.62,62.60 ± 0.94,64.86 ± 1.13
UTT+ INT + SCD,BS,35.74 ± 0.59,32.44 ± 0.55,27.87 ± 1.06,28.00 ± 1.66,27.92 ± 0.81
UTT + INT + SCM,MF1,59.14 ± 1.50,61.88 ± 1.38,61.97 ± 2.51,63.44 ± 1.06,63.24 ± 1.84
UTT + INT + SCM,BS,34.25 ± 1.77,32.99 ± 2.77,29.38 ± 2.65,29.85 ± 3.52,30.70 ± 1.03
UTT + INT + Trad,MF1,60.77 ± 0.64,63.64 ± 1.31,62.80 ± 0.23,63.28 ± 0.78,65.39 ± 1.69
UTT + INT + Trad,BS,34.05 ± 1.02,33.11 ± 1.74,29.41 ± 2.64,29.01 ± 1.79,26.95 ± 0.96
