Info,Measure,0.25,0.375,0.5,0.625,0.75
UTT,MF1,46.93 ± 2.56,61.62 ± 0.79,64.52 ± 5.15,59.44 ± 0.75,63.00 ± 3.32
UTT,BS,28.06 ± 0.56,27.08 ± 3.02,24.77 ± 0.67,25.14 ± 1.37,25.20 ± 0.72
UTT+ INT,MF1,53.95 ± 1.68,63.25 ± 5.72,59.35 ± 11.76,49.56 ± 10.58,67.76 ± 2.33
UTT+ INT,BS,27.16 ± 1.70,25.20 ± 2.28,25.10 ± 0.89,23.93 ± 1.06,24.68 ± 1.69
UTT + Trad,MF1,51.78 ± 1.10,67.26 ± 8.19,51.10 ± 10.55,47.58 ± 5.76,70.60 ± 0.51
UTT + Trad,BS,30.25 ± 2.93,27.74 ± 1.23,24.69 ± 2.61,23.22 ± 0.43,24.64 ± 1.30
UTT + SCD,MF1,55.01 ± 3.68,64.80 ± 1.19,64.53 ± 4.56,66.83 ± 5.00,69.51 ± 7.14
UTT + SCD,BS,29.36 ± 2.00,26.89 ± 1.03,25.47 ± 0.90,27.09 ± 0.98,25.32 ± 0.05
UTT + SCM,MF1,53.04 ± 1.93,57.89 ± 11.90,54.83 ± 7.83,50.04 ± 8.75,61.39 ± 2.25
UTT + SCM,BS,27.79 ± 3.10,27.93 ± 0.57,28.29 ± 1.48,27.76 ± 2.30,26.62 ± 1.52
UTT+ INT + SCD,MF1,55.20 ± 3.35,60.95 ± 7.63,65.54 ± 4.42,63.45 ± 4.34,71.01 ± 6.61
UTT+ INT + SCD,BS,28.06 ± 4.34,26.26 ± 1.16,24.49 ± 1.10,26.19 ± 1.33,24.00 ± 1.42
UTT + INT + SCM,MF1,51.88 ± 1.14,58.84 ± 13.46,58.92 ± 8.69,59.57 ± 7.65,60.24 ± 1.66
UTT + INT + SCM,BS,27.65 ± 1.48,25.93 ± 0.76,26.46 ± 1.50,26.30 ± 1.80,25.20 ± 1.31
UTT + INT + Trad,MF1,56.30 ± 4.41,59.84 ± 13.48,63.37 ± 2.64,55.74 ± 3.67,65.88 ± 0.90
UTT + INT + Trad,BS,26.32 ± 1.84,27.07 ± 0.19,25.53 ± 1.68,26.41 ± 1.11,24.73 ± 0.35
