seed,scaffold,frac,dialogue_id,buyer_target,seller_target,sale_price,predicted_final_price,true_score,pred_score,diff_price,norm_diff_price,true_deal,pred_deal
seed_42,none_no_intentions,0.25,C_0020dee073a945eb82a128f656cff94b,37,75,37.0,56.0,0.0,0.49999999999868416,-19.0,-0.5135135135121256,1,0
seed_42,none_no_intentions,0.25,C_004ae9e50f4a4e2d8822823056edaf1e,25,50,35.0,37.5,0.3999999999984,0.49999999999800004,-2.5,-0.07142857142836734,1,0
seed_42,none_no_intentions,0.25,C_006f34c1a24348839c00beb7b1a00f31,6,10,8.0,7.0,0.4999999999875,0.24999999999375,1.0,0.1249999999984375,0,1
seed_42,none_no_intentions,0.25,C_0146a92afe234007a51fe1b4c7071ca1,56,80,60.0,68.0,0.16666666666597224,0.4999999999979167,-8.0,-0.13333333333311112,1,0
seed_42,none_no_intentions,0.25,C_0150d45a7290453fa35102b4f2539918,13,15,13.0,14.0,0.0,0.499999999975,-1.0,-0.0769230769224852,1,0
seed_42,none_no_intentions,0.25,C_0161690e2107455dbfce9c03ce19607e,19000,25000,21000.0,22000.0,0.33333333333332776,0.4999999999999917,-1000.0,-0.047619047619047394,1,0
seed_42,none_no_intentions,0.25,C_01ac7239fef54abeb05a1e23c26b93e5,48,80,65.0,64.0,0.5312499999983398,0.49999999999843747,1.0,0.015384615384591715,0,0
seed_42,none_no_intentions,0.25,C_01e68ec46d114f53bdf6943d429cbb5e,301,397,320.0,349.0,0.1979166666664605,0.49999999999947914,-29.0,-0.09062499999997169,1,0
seed_42,none_no_intentions,0.25,C_02dce7bcadcc42f087698f0e6bdcb5a0,778,1556,1350.0,1167.0,0.7352185089973348,0.4999999999999357,183.0,0.13555555555554552,0,0
seed_42,none_no_intentions,0.25,C_02f9b9cfe382463ea5f6b6ecb689b1ec,10400,20800,15000.0,15600.0,0.44230769230768807,0.49999999999999517,-600.0,-0.03999999999999973,1,0
seed_42,none_no_intentions,0.25,C_033934a5cb6b4bcb94a4202525cd3126,90,180,110.0,135.0,0.2222222222219753,0.49999999999944444,-25.0,-0.22727272727252065,1,0
seed_42,none_no_intentions,0.25,C_047ef173d910432aae9556c595444a0d,1077,1795,1650.0,1436.0,0.7980501392756548,0.49999999999993033,214.0,0.12969696969696184,0,0
seed_42,none_no_intentions,0.25,C_04cf7e9ff180493193f48870eedf3531,10,20,13.0,15.0,0.299999999997,0.499999999995,-2.0,-0.1538461538449704,1,0
seed_42,none_no_intentions,0.25,C_04e41aa41dd14aab9ddb5a26dda40f7c,10,20,17.0,15.0,0.699999999993,0.499999999995,2.0,0.11764705882283738,0,0
seed_42,none_no_intentions,0.25,C_05801cc30bfb40299539dbe518ee2cd7,9880,13000,10000.0,11490.0,0.03846153846153723,0.5160256410256244,-1490.0,-0.14899999999999852,1,0
seed_42,none_no_intentions,0.25,C_06250c20debf404a95221088dbe85c73,114,150,130.0,132.0,0.44444444444320985,0.4999999999986111,-2.0,-0.015384615384603551,1,0
seed_42,none_no_intentions,0.25,C_06d94f0c5f1f4ec58ba047789b7f8bba,2065,2950,2950.0,2507.5,0.999999999999887,0.4999999999999435,442.5,0.14999999999999492,0,0
seed_42,none_no_intentions,0.25,C_06fd896f4aae44a894226ea72895a996,315,350,315.0,332.5,0.0,0.4999999999985714,-17.5,-0.05555555555553792,1,0
seed_42,none_no_intentions,0.25,C_07204ce84c9140da9ef5053c894bb1c8,2695,3850,2800.0,3272.5,0.09090909090908303,0.4999999999999567,-472.5,-0.16874999999999396,1,0
seed_42,none_no_intentions,0.25,C_076ee5c7626747859b7191215d19a229,114,150,120.0,132.0,0.1666666666662037,0.4999999999986111,-12.0,-0.09999999999991667,1,0
