seed,scaffold,frac,dialogue_id,gold_label,predicted_label
seed_42,none_no_intentions,0.25,100009118.8296.8296,1,0
seed_42,none_no_intentions,0.25,100082597.1198.1198,0,0
seed_42,none_no_intentions,0.25,101890424.3912.3912,1,0
seed_42,none_no_intentions,0.25,102102282.16707.16707,0,0
seed_42,none_no_intentions,0.25,102154157.16707.16707,1,1
seed_42,none_no_intentions,0.25,102964652.2026.2026,1,1
seed_42,none_no_intentions,0.25,103071967.14294.14294,1,0
seed_42,none_no_intentions,0.25,103587368.2010.2010,0,0
seed_42,none_no_intentions,0.25,103682985.3190.3190,0,0
seed_42,none_no_intentions,0.25,103713917.1219.1219,1,1
seed_42,none_no_intentions,0.25,104033285.691.691,1,0
seed_42,none_no_intentions,0.25,104093979.937.937,1,1
seed_42,none_no_intentions,0.25,104289055.68565.68565,1,1
seed_42,none_no_intentions,0.25,104887604.5394.5394,0,0
seed_42,none_no_intentions,0.25,105940061.1753.1753,1,0
seed_42,none_no_intentions,0.25,105983711.6035.6035,1,0
seed_42,none_no_intentions,0.25,106086467.6813.6813,1,1
seed_42,none_no_intentions,0.25,106097715.8104.8104,0,1
seed_42,none_no_intentions,0.25,106700421.14794.14794,0,0
seed_42,none_no_intentions,0.25,107047394.5221.5221,0,0
seed_42,none_no_intentions,0.25,107319885.2036.0,1,0
seed_42,none_no_intentions,0.25,107319885.27209.0,0,1
seed_42,none_no_intentions,0.25,108176670.53894.53894,0,0
seed_42,none_no_intentions,0.25,108254711.66560.66560,1,0
seed_42,none_no_intentions,0.25,108309135.0.0,1,0
seed_42,none_no_intentions,0.25,109195877.11310.11310,0,0
seed_42,none_no_intentions,0.25,109203891.11364.11364,1,0
seed_42,none_no_intentions,0.25,109231098.1164.1164,0,0
seed_42,none_no_intentions,0.25,109266893.1218.1218,0,0
seed_42,none_no_intentions,0.25,109376539.2407.2407,1,1
seed_42,none_no_intentions,0.25,109823148.2068.2068,1,0
seed_42,none_no_intentions,0.25,110757749.4492.4492,1,1
seed_42,none_no_intentions,0.25,111356473.3090.3090,1,1
seed_42,none_no_intentions,0.25,111452484.5860.5860,0,0
seed_42,none_no_intentions,0.25,111603073.8923.8923,0,0
seed_42,none_no_intentions,0.25,111898199.3579.3589,0,1
seed_42,none_no_intentions,0.25,112610040.70740.70740,0,0
seed_42,none_no_intentions,0.25,11331921.17573.17573,0,1
seed_42,none_no_intentions,0.25,113468765.31323.31323,0,0
seed_42,none_no_intentions,0.25,114627125.3150.3150,1,0
seed_42,none_no_intentions,0.25,114831022.4571.4571,0,0
seed_42,none_no_intentions,0.25,114940119.5559.5559,1,0
seed_42,none_no_intentions,0.25,11538354.18483.18483,1,0
seed_42,none_no_intentions,0.25,115398974.2304.2304,0,0
seed_42,none_no_intentions,0.25,115857386.6977.6977,0,0
seed_42,none_no_intentions,0.25,116402323.22148.22148,1,1
seed_42,none_no_intentions,0.25,116605439.14001.14001,1,0
seed_42,none_no_intentions,0.25,116605439.14054.14054,1,0
seed_42,none_no_intentions,0.25,117313335.19115.19115,1,1
seed_42,none_no_intentions,0.25,11915549.810.810,0,0
seed_42,none_no_intentions,0.25,11932349.376.376,1,0
seed_42,none_no_intentions,0.25,119685468.7818.7808,0,0
seed_42,none_no_intentions,0.25,120051909.8801.8801,1,0
seed_42,none_no_intentions,0.25,120066409.597.597,0,1
seed_42,none_no_intentions,0.25,120201689.7250.7250,0,0
seed_42,none_no_intentions,0.25,12080811.2083.2083,1,0
seed_42,none_no_intentions,0.25,121303963.2014.2014,0,0
seed_42,none_no_intentions,0.25,121446938.31933.31933,1,0
seed_42,none_no_intentions,0.25,121589754.2688.2688,1,1
seed_42,none_no_intentions,0.25,123248299.5408.5408,1,0
seed_42,none_no_intentions,0.25,123248299.5506.5506,1,0
seed_42,none_no_intentions,0.25,123267563.7197.7197,0,0
seed_42,none_no_intentions,0.25,123598601.0.0,1,0
seed_42,none_no_intentions,0.25,124180029.7198.7198,0,0
seed_42,none_no_intentions,0.25,12451425.436.436,0,0
seed_42,none_no_intentions,0.25,124815362.13703.13703,0,0
seed_42,none_no_intentions,0.25,125039163.640.640,0,0
seed_42,none_no_intentions,0.25,12555064.2026.2026,1,1
seed_42,none_no_intentions,0.25,126242125.1546.1546,1,0
seed_42,none_no_intentions,0.25,126317499.28727.28727,0,0
seed_42,none_no_intentions,0.25,127296808.516.516,0,0
seed_42,none_no_intentions,0.25,128593760.5542.5542,1,1
seed_42,none_no_intentions,0.25,128818551.16567.16567,0,1
seed_42,none_no_intentions,0.25,12941035.584.584,1,1
seed_42,none_no_intentions,0.25,129624154.36120.36120,1,0
seed_42,none_no_intentions,0.25,131373413.24835.24835,1,0
seed_42,none_no_intentions,0.25,131373413.25367.25367,1,0
seed_42,none_no_intentions,0.25,131395687.2202.2202,0,0
seed_42,none_no_intentions,0.25,131430765.10488.10488,0,0
seed_42,none_no_intentions,0.25,131670830.3476.3476,1,0
seed_42,none_no_intentions,0.25,132026400.5805.5805,0,0
