seed,scaffold,frac,dialogue_id,gold_label,predicted_label
seed_10623,none_no_intentions,0.25,20180717-200206_41_live,1,0
seed_10623,none_no_intentions,0.25,20180719-120436_413_live,0,0
seed_10623,none_no_intentions,0.25,20180719-122534_38_live,1,0
seed_10623,none_no_intentions,0.25,20180719-165941_192_live,0,0
seed_10623,none_no_intentions,0.25,20180719-181845_211_live,0,0
seed_10623,none_no_intentions,0.25,20180719-182453_233_live,0,0
seed_10623,none_no_intentions,0.25,20180719-204358_391_live,0,1
seed_10623,none_no_intentions,0.25,20180719-211253_768_live,1,1
seed_10623,none_no_intentions,0.25,20180719-211301_463_live,0,1
seed_10623,none_no_intentions,0.25,20180719-211846_176_live,0,1
seed_10623,none_no_intentions,0.25,20180723-025150_733_live,1,0
seed_10623,none_no_intentions,0.25,20180723-031022_254_live,1,0
seed_10623,none_no_intentions,0.25,20180723-034109_263_live,1,0
seed_10623,none_no_intentions,0.25,20180723-034654_121_live,0,0
seed_10623,none_no_intentions,0.25,20180723-042226_724_live,1,0
seed_10623,none_no_intentions,0.25,20180723-042342_809_live,0,0
seed_10623,none_no_intentions,0.25,20180723-042344_940_live,0,0
seed_10623,none_no_intentions,0.25,20180723-042421_113_live,0,0
seed_10623,none_no_intentions,0.25,20180723-052203_936_live,1,1
seed_10623,none_no_intentions,0.25,20180723-055038_776_live,1,1
seed_10623,none_no_intentions,0.25,20180723-061928_535_live,1,0
seed_10623,none_no_intentions,0.25,20180723-070336_48_live,0,0
seed_10623,none_no_intentions,0.25,20180723-073908_711_live,1,0
seed_10623,none_no_intentions,0.25,20180723-074147_879_live,0,0
seed_10623,none_no_intentions,0.25,20180723-075339_567_live,0,0
seed_10623,none_no_intentions,0.25,20180723-080158_200_live,0,0
seed_10623,none_no_intentions,0.25,20180723-082451_335_live,0,0
seed_10623,none_no_intentions,0.25,20180723-091102_738_live,0,0
seed_10623,none_no_intentions,0.25,20180723-091419_371_live,1,0
seed_10623,none_no_intentions,0.25,20180723-091508_49_live,0,1
seed_10623,none_no_intentions,0.25,20180723-094242_630_live,1,0
seed_10623,none_no_intentions,0.25,20180723-100140_767_live,0,0
seed_10623,none_no_intentions,0.25,20180723-101530_805_live,1,0
seed_10623,none_no_intentions,0.25,20180723-103902_895_live,0,0
seed_10623,none_no_intentions,0.25,20180723-105210_403_live,0,1
seed_10623,none_no_intentions,0.25,20180723-113128_856_live,1,0
seed_10623,none_no_intentions,0.25,20180723-113700_19_live,1,0
seed_10623,none_no_intentions,0.25,20180723-120746_371_live,0,1
seed_10623,none_no_intentions,0.25,20180723-121545_265_live,0,0
seed_10623,none_no_intentions,0.25,20180723-122005_335_live,0,0
seed_10623,none_no_intentions,0.25,20180808-001810_178_live,0,1
seed_10623,none_no_intentions,0.25,20180808-004203_194_live,0,0
seed_10623,none_no_intentions,0.25,20180808-011341_389_live,1,1
seed_10623,none_no_intentions,0.25,20180808-013755_350_live,1,0
seed_10623,none_no_intentions,0.25,20180808-020257_457_live,1,0
seed_10623,none_no_intentions,0.25,20180808-022005_838_live,0,0
seed_10623,none_no_intentions,0.25,20180808-022730_384_live,0,1
seed_10623,none_no_intentions,0.25,20180808-030338_328_live,0,0
seed_10623,none_no_intentions,0.25,20180808-030454_242_live,1,0
seed_10623,none_no_intentions,0.25,20180808-032041_562_live,0,0
seed_10623,none_no_intentions,0.25,20180808-032124_114_live,0,0
seed_10623,none_no_intentions,0.25,20180808-032354_369_live,0,1
seed_10623,none_no_intentions,0.25,20180808-032545_201_live,0,0
seed_10623,none_no_intentions,0.25,20180808-034448_815_live,0,0
seed_10623,none_no_intentions,0.25,20180808-035715_390_live,0,0
