Info,Metric,0.25,0.375,0.5,0.625,0.75
none,rmse,0.35 ± 0.01,0.34 ± 0.00,0.34 ± 0.00,0.33 ± 0.01,0.33 ± 0.01
local,rmse,0.46 ± 0.09,0.37 ± 0.01,0.39 ± 0.01,0.36 ± 0.02,0.33 ± 0.01
global_scd,rmse,0.35 ± 0.01,0.33 ± 0.01,0.34 ± 0.01,0.33 ± 0.03,0.29 ± 0.00
global_scm,rmse,0.35 ± 0.00,0.71 ± 0.53,0.37 ± 0.01,0.36 ± 0.01,0.33 ± 0.02
global_traditional,rmse,0.34 ± 0.00,0.36 ± 0.01,0.37 ± 0.02,0.34 ± 0.02,0.30 ± 0.01
both_scd,rmse,0.34 ± 0.01,0.35 ± 0.00,0.35 ± 0.01,0.34 ± 0.01,0.31 ± 0.01
both_scm,rmse,0.34 ± 0.01,0.34 ± 0.01,0.36 ± 0.01,0.34 ± 0.01,0.67 ± 0.51
both_traditional,rmse,0.65 ± 0.42,0.36 ± 0.01,0.40 ± 0.01,0.39 ± 0.03,0.42 ± 0.07
none,corr,0.10 ± 0.01,0.15 ± 0.02,0.18 ± 0.01,0.26 ± 0.02,0.37 ± 0.02
local,corr,0.04 ± 0.03,0.11 ± 0.03,0.09 ± 0.03,0.19 ± 0.04,0.35 ± 0.03
global_scd,corr,0.13 ± 0.02,0.17 ± 0.04,0.17 ± 0.04,0.25 ± 0.03,0.46 ± 0.01
global_scm,corr,0.09 ± 0.02,0.11 ± 0.10,0.15 ± 0.02,0.20 ± 0.02,0.32 ± 0.05
global_traditional,corr,0.11 ± 0.02,0.13 ± 0.04,0.14 ± 0.02,0.23 ± 0.04,0.44 ± 0.01
both_scd,corr,0.14 ± 0.03,0.13 ± 0.01,0.17 ± 0.00,0.25 ± 0.03,0.43 ± 0.03
both_scm,corr,0.16 ± 0.03,0.16 ± 0.05,0.14 ± 0.03,0.24 ± 0.03,0.31 ± 0.18
both_traditional,corr,0.11 ± 0.05,0.13 ± 0.01,0.16 ± 0.02,0.20 ± 0.03,0.25 ± 0.07
none,nmse,0.16 ± 0.01,0.16 ± 0.00,0.15 ± 0.00,0.15 ± 0.01,0.14 ± 0.01
local,nmse,0.19 ± 0.02,0.18 ± 0.00,0.19 ± 0.01,0.17 ± 0.00,0.15 ± 0.01
global_scd,nmse,0.16 ± 0.01,0.16 ± 0.01,0.15 ± 0.01,0.15 ± 0.01,0.12 ± 0.00
global_scm,nmse,0.17 ± 0.00,0.27 ± 0.15,0.16 ± 0.01,0.16 ± 0.01,0.15 ± 0.01
global_traditional,nmse,0.16 ± 0.00,0.16 ± 0.01,0.16 ± 0.01,0.16 ± 0.01,0.13 ± 0.00
both_scd,nmse,0.16 ± 0.00,0.16 ± 0.00,0.16 ± 0.00,0.15 ± 0.01,0.13 ± 0.00
both_scm,nmse,0.16 ± 0.00,0.16 ± 0.00,0.16 ± 0.01,0.16 ± 0.00,0.14 ± 0.02
both_traditional,nmse,0.26 ± 0.14,0.17 ± 0.00,0.18 ± 0.00,0.19 ± 0.03,0.16 ± 0.00
none,rmse_price,1033.53 ± 125.25,1114.48 ± 201.71,922.82 ± 3.59,781.59 ± 44.11,915.29 ± 150.84
local,rmse_price,1284.06 ± 408.33,905.54 ± 132.19,1361.19 ± 8.80,1106.66 ± 254.76,932.38 ± 326.60
global_scd,rmse_price,836.23 ± 74.05,807.84 ± 167.48,848.16 ± 50.90,828.55 ± 56.02,490.43 ± 105.82
global_scm,rmse_price,975.58 ± 66.25,789.99 ± 84.08,909.41 ± 219.00,1029.34 ± 120.67,863.97 ± 272.98
global_traditional,rmse_price,729.24 ± 91.91,791.77 ± 45.83,1453.95 ± 575.82,991.41 ± 216.62,811.75 ± 167.70
both_scd,rmse_price,874.56 ± 44.28,872.33 ± 151.78,988.33 ± 212.79,895.72 ± 178.38,734.52 ± 179.57
both_scm,rmse_price,1022.03 ± 134.28,955.75 ± 210.50,741.17 ± 34.38,850.48 ± 30.66,693.51 ± 187.91
both_traditional,rmse_price,1059.75 ± 108.38,1248.32 ± 292.73,1191.35 ± 208.27,987.85 ± 234.92,957.96 ± 274.07
