dialogue_id,summary_type,model_type,include_intentions,conversation,prompt,response,predicted_final_price,buyer_target,seller_target,sale_price,price_error,percent_error,within_range
C_0020dee073a945eb82a128f656cff94b,relational,gpt,True,"Buyer: Hello, do you still have the SD card [Initiate conversation and inquire about the availability of the SD card]
Seller: I do, are you interested in it? [Confirm availability and gauge buyer's interest]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$37, $75, [Buyer: Hello, do you still have the SD card [Initiate conversation and inquire about the availability of the SD card]
Seller: I do, are you interested in it? [Confirm availability and gauge buyer's interest]], [Summary: The buyer seems interested and is likely assessing the seller's reliability, while the seller appears open and willing to engage, suggesting a neutral to positive rapport. There's a basic level of respect and potential for trust, as the conversation is just beginning. Neither party shows signs of frustration, and their alignment is currently transactional. The interaction is straightforward, with both participants likely feeling neutral or slightly positive about each other at this stage.]>",FINAL_PRICE: $56,56.0,37,75,37.0,19.0,50.0,1
C_004ae9e50f4a4e2d8822823056edaf1e,relational,gpt,True,"Seller: Hello how can I help you? [Offer assistance]
Buyer: I'm interested in purchasing the sub box. [Express interest in a product]
Seller: Sure! [Acknowledge interest]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$25, $50, [Seller: Hello how can I help you? [Offer assistance]
Buyer: I'm interested in purchasing the sub box. [Express interest in a product]
Seller: Sure! [Acknowledge interest]], [Summary: The seller seems open and willing to assist, indicating a respectful and accommodating attitude towards the buyer. The buyer appears straightforward and direct, suggesting a level of trust in the seller's ability to provide information. There is no evident frustration, and the interaction seems neutral and business-like. Both participants appear aligned in their purpose, with a basic rapport established through the seller's willingness to help and the buyer's clear expression of interest.]>",FINAL_PRICE: $37.50,37.5,25,50,35.0,2.5,10.0,1
C_006f34c1a24348839c00beb7b1a00f31,relational,gpt,True,"Seller: Hello there [Greeting the buyer]
Buyer: hi [Responding to the greeting]
Seller: What would you like to know about the product> [Inquiring about the buyer's interest in the product]
Buyer: any details andits condition? [Requesting details and condition of the product]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$6, $10, [Seller: Hello there [Greeting the buyer]
Buyer: hi [Responding to the greeting]
Seller: What would you like to know about the product> [Inquiring about the buyer's interest in the product]
Buyer: any details andits condition? [Requesting details and condition of the product]], [Summary: The seller seems open and willing to provide information, indicating a basic level of respect and a desire to assist the buyer. The buyer appears straightforward and focused on obtaining necessary details, suggesting a neutral level of trust and respect. There is no evident frustration, but the rapport is minimal, as the interaction is still in its early stages and primarily transactional. Both parties appear aligned in their goal of discussing the product.]>",FINAL_PRICE: $8,8.0,6,10,8.0,0.0,0.0,1
C_0146a92afe234007a51fe1b4c7071ca1,relational,gpt,True,"Seller: I have a wonderful phone for you if you are interested. [To offer a phone for sale and gauge the buyer's interest]
Buyer: I am interested. Did you just buy it? [To express interest and inquire about the phone's purchase history]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$56, $80, [Seller: I have a wonderful phone for you if you are interested. [To offer a phone for sale and gauge the buyer's interest]
Buyer: I am interested. Did you just buy it? [To express interest and inquire about the phone's purchase history]], [Summary: The seller seems eager and positive, likely trying to build rapport and trust with the buyer. The buyer shows interest but is cautious, possibly seeking more information to ensure trust and alignment. There is a neutral level of respect, with the buyer's question indicating a desire for transparency. Overall, the interaction is polite, with the potential for alignment if the seller provides satisfactory answers. Frustration is not evident at this stage.]>",FINAL_PRICE: $68,68.0,56,80,60.0,8.0,33.33333333333333,1
C_0150d45a7290453fa35102b4f2539918,relational,gpt,True,"Buyer: hello how we doing today [Greeting and initiating conversation]
Seller: Hi there. [Responding to greeting]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$13, $15, [Buyer: hello how we doing today [Greeting and initiating conversation]
Seller: Hi there. [Responding to greeting]], [Summary: The buyer seems to be initiating the conversation with a casual and friendly tone, suggesting a willingness to engage positively. The seller's response is polite but minimal, which may indicate a neutral or reserved stance. There is no clear indication of strong rapport or alignment yet, but neither party shows overt frustration or disrespect. Trust and respect levels are not explicitly evident, as the interaction is too brief to assess deeper feelings.]>",FINAL_PRICE: $14,14.0,13,15,13.0,1.0,50.0,1
C_0161690e2107455dbfce9c03ce19607e,relational,gpt,True,"Seller: Hi - are you interested in my car? [Initiate conversation and gauge interest]
Buyer: Hello i saw your post for your 2014 dodge charger featurig heated leather seats. I'm curious as if it's been insepected and if everything is running great [Express interest and inquire about the car's condition]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$19000, $25000, [Seller: Hi - are you interested in my car? [Initiate conversation and gauge interest]
Buyer: Hello i saw your post for your 2014 dodge charger featurig heated leather seats. I'm curious as if it's been insepected and if everything is running great [Express interest and inquire about the car's condition]], [Summary: The seller seems open and willing to engage, likely hoping for a positive interaction. The buyer appears interested but cautious, seeking assurance about the car's condition. There's a neutral level of respect and trust, as the conversation is in its early stages. Neither party shows frustration, and they are aligned in discussing the car. The rapport is minimal but professional, as both are focused on gathering and providing necessary information.]>",FINAL_PRICE: $22000,22000.0,19000,25000,21000.0,1000.0,16.666666666666664,1
C_01ac7239fef54abeb05a1e23c26b93e5,relational,gpt,True,"Buyer: Hello, I am interested in the cabinets you have listed. [Express interest in the cabinets listed for sale]
Seller: Hi, the cabinets are brand new and unopened - they're great, but just don't fit in my kitchen. [Provide information about the condition and reason for selling the cabinets]
Buyer: How long have you had them? [Inquire about the duration of ownership]
Seller: I bought them about 3 months ago, and still have the receipts. [Provide information about the purchase date and availability of receipts]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$48, $80, [Buyer: Hello, I am interested in the cabinets you have listed. [Express interest in the cabinets listed for sale]
Seller: Hi, the cabinets are brand new and unopened - they're great, but just don't fit in my kitchen. [Provide information about the condition and reason for selling the cabinets]
Buyer: How long have you had them? [Inquire about the duration of ownership]
Seller: I bought them about 3 months ago, and still have the receipts. [Provide information about the purchase date and availability of receipts]], [Summary: The buyer seems curious and somewhat cautious, seeking more information to build trust. The seller appears open and straightforward, aiming to establish credibility by providing details and receipts. There is a neutral level of respect and no evident frustration, with both parties maintaining a polite and informative exchange. Their rapport is developing, with the potential for alignment if the buyer's questions are satisfactorily answered.]>",FINAL_PRICE: $64,64.0,48,80,65.0,1.0,3.125,1
C_01e68ec46d114f53bdf6943d429cbb5e,relational,gpt,True,"Seller: Are you interested in  My galaxy [Initiate conversation and gauge interest]
Buyer: Yes, it looks like a great phone.  Can you tell me a little about its history? [Express interest and request information]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$301, $397, [Seller: Are you interested in  My galaxy [Initiate conversation and gauge interest]
Buyer: Yes, it looks like a great phone.  Can you tell me a little about its history? [Express interest and request information]], [Summary: The buyer seems interested and respectful, showing trust by asking for more information. The seller appears open and willing to share details, indicating a willingness to engage and build rapport. Both participants seem aligned in their interest in the product, with no evident frustration. The conversation suggests a positive interaction with mutual respect and a foundation for potential trust as the dialogue progresses.]>",FINAL_PRICE: $349,349.0,301,397,320.0,29.0,30.208333333333332,1
C_02dce7bcadcc42f087698f0e6bdcb5a0,relational,gpt,True,"Seller: Hello [Greeting the buyer]
Buyer: Hi! How's the flooring of the apartments? [Initiating conversation and inquiring about the flooring]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$778, $1556, [Seller: Hello [Greeting the buyer]
Buyer: Hi! How's the flooring of the apartments? [Initiating conversation and inquiring about the flooring]], [Summary: The buyer seems curious and open, indicating a willingness to engage and gather information. The seller appears professional and responsive, suggesting a readiness to assist and provide details. There is a neutral level of respect and trust as the conversation is at an early stage, with no evident frustration. The alignment is currently transactional, with potential for rapport development as the conversation progresses. Both parties seem focused on establishing a basic understanding.]>",FINAL_PRICE: $1167,1167.0,778,1556,1350.0,183.0,23.52185089974293,1
C_02f9b9cfe382463ea5f6b6ecb689b1ec,relational,gpt,True,"Buyer: hi [Greeting the seller]
Seller: Hey get this great car today before it is gone! [Encouraging the buyer to purchase the car]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$10400, $20800, [Buyer: hi [Greeting the seller]
Seller: Hey get this great car today before it is gone! [Encouraging the buyer to purchase the car]], [Summary: The buyer seems neutral or indifferent, as their greeting is minimal. The seller appears eager and somewhat pushy, focusing on urgency rather than building rapport. The seller's approach might suggest a lack of respect for the buyer's decision-making process, potentially leading to buyer frustration. There seems to be little trust or alignment at this point, as the interaction is transactional and lacks personal connection or mutual understanding.]>",FINAL_PRICE: $15600,15600.0,10400,20800,15000.0,600.0,5.769230769230769,1
C_033934a5cb6b4bcb94a4202525cd3126,relational,gpt,True,"Buyer: whoa glitchy system [Expressing frustration with the system]
Seller: Hi, are you interested in the bike? [Initiating conversation and gauging interest]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$90, $180, [Buyer: whoa glitchy system [Expressing frustration with the system]
Seller: Hi, are you interested in the bike? [Initiating conversation and gauging interest]], [Summary: The buyer seems frustrated with the system, which might affect their engagement with the seller. The seller remains neutral and focused on the transaction, indicating a professional approach. There is no clear indication of trust or rapport between them yet, as the interaction is minimal. The seller's response suggests a willingness to assist, but the buyer's frustration might hinder immediate alignment or positive rapport. Respect is maintained, but the interaction is too brief for deeper analysis.]>",FINAL_PRICE: $135,135.0,90,180,110.0,25.0,27.77777777777778,1
C_047ef173d910432aae9556c595444a0d,relational,gpt,True,"Seller: hi there [Greeting the buyer]
Buyer: I'm moving to the bay area is West Oakland a good neighborhood? [Inquiring about the quality of the neighborhood]
Buyer: Hi, I'm moving to the bay area is West Oakland a good neighborhood? [Repeating the inquiry for clarity]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$1077, $1795, [Seller: hi there [Greeting the buyer]
Buyer: I'm moving to the bay area is West Oakland a good neighborhood? [Inquiring about the quality of the neighborhood]
Buyer: Hi, I'm moving to the bay area is West Oakland a good neighborhood? [Repeating the inquiry for clarity]], [Summary: The seller seems patient and willing to assist, likely viewing the buyer with a neutral or positive outlook. The buyer appears eager for information, possibly repeating their question out of urgency or oversight, which might suggest a slight frustration or anxiety. The interaction is too brief to fully gauge trust or alignment, but there seems to be a basic level of respect as the conversation is polite and straightforward.]>",FINAL_PRICE: $1436,1436.0,1077,1795,1650.0,214.0,29.805013927576603,1
C_04cf7e9ff180493193f48870eedf3531,relational,gpt,True,"Buyer: Hi do you still have the SD card [Inquire about the availability of the SD card]
Seller: HI are you interested in my sd card it is in great conditon 64gb and I am asking $20 [Confirm availability and provide details about the SD card]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$10, $20, [Buyer: Hi do you still have the SD card [Inquire about the availability of the SD card]
Seller: HI are you interested in my sd card it is in great conditon 64gb and I am asking $20 [Confirm availability and provide details about the SD card]], [Summary: The buyer seems interested but cautious, likely assessing the seller's reliability. The seller appears eager to make the sale, emphasizing the product's condition and price, suggesting a desire to build trust and rapport. There's a basic level of respect and politeness, but no strong alignment or deep trust is evident yet. The interaction is straightforward, with no signs of frustration, indicating a neutral to positive initial engagement.]>",FINAL_PRICE: $15,15.0,10,20,13.0,2.0,20.0,1
C_04e41aa41dd14aab9ddb5a26dda40f7c,relational,gpt,True,"Seller: Hi [Greeting the buyer]
Buyer: hi [Responding to the greeting]
Seller: I'm asking $90 for the square speaker. [Stating the asking price for the speaker]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$10, $20, [Seller: Hi [Greeting the buyer]
Buyer: hi [Responding to the greeting]
Seller: I'm asking $90 for the square speaker. [Stating the asking price for the speaker]], [Summary: The seller appears straightforward and business-focused, showing a neutral level of respect and trust toward the buyer. The buyer's brief response suggests a neutral stance, with no clear indication of frustration or strong rapport. Both participants seem to be in the early stages of negotiation, with no evident alignment or disagreement yet. The interaction is polite but lacks warmth or personal connection, indicating a formal and transactional tone.]>",FINAL_PRICE: $45,45.0,10,20,17.0,28.0,280.0,0
C_05801cc30bfb40299539dbe518ee2cd7,relational,gpt,True,"Buyer: Hello I am interested in your vehicle. What kind of amenties does it have? [Expressing interest and inquiring about vehicle amenities]
Seller: very well kept and only has 32k miles very clean interior and drives like a champ, i'm pretty firm on price but could also be flirted with a great deal [Describing the vehicle's condition and hinting at price flexibility]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$9880, $13000, [Buyer: Hello I am interested in your vehicle. What kind of amenties does it have? [Expressing interest and inquiring about vehicle amenities]
Seller: very well kept and only has 32k miles very clean interior and drives like a champ, i'm pretty firm on price but could also be flirted with a great deal [Describing the vehicle's condition and hinting at price flexibility]], [Summary: The buyer seems interested and curious, likely feeling neutral or slightly positive towards the seller. The seller appears confident and somewhat flexible, suggesting a willingness to negotiate, which may build some rapport. There's a moderate level of respect and potential for alignment, but trust is still being established. The conversation is polite, with no evident frustration.]>",FINAL_PRICE: $11500,11500.0,9880,13000,10000.0,1500.0,48.07692307692308,1
C_06250c20debf404a95221088dbe85c73,relational,gpt,True,"Seller: Hey looking for a new bed [Initiate conversation and introduce the topic of selling a bed]
Buyer: i am [Confirm interest in purchasing a bed]
Seller: Well this set would be perfect for you or your teenage daughter. Any questions [Promote the bed set and invite questions]","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation with intentions], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$114, $150, [Seller: Hey looking for a new bed [Initiate conversation and introduce the topic of selling a bed]
Buyer: i am [Confirm interest in purchasing a bed]
Seller: Well this set would be perfect for you or your teenage daughter. Any questions [Promote the bed set and invite questions]], [Summary: The seller seems eager to make a sale and is attempting to build rapport with the buyer by suggesting a suitable option. The buyer's brief response suggests a lack of engagement or enthusiasm, possibly indicating low trust or interest. The seller appears respectful and keen to assist, while the buyer's minimal interaction hints at a lack of alignment or connection with the seller's approach.]>",FINAL_PRICE: $132,132.0,114,150,130.0,2.0,5.555555555555555,1
