dialogue_id,summary_type,model_type,include_intentions,conversation,prompt,response,predicted_final_price,buyer_target,seller_target,sale_price,price_error,percent_error,within_range
C_0020dee073a945eb82a128f656cff94b,scd,llama70b,False,"Buyer: Hello, do you still have the SD card
Seller: I do, are you interested in it?
Buyer: Yes I am whats your bottom dollar on it?
Seller: At the store they're selling for 100 so not much lower.
Buyer: I don't have a lot to spend here and I need one really bad.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$37, $75, [Buyer: Hello, do you still have the SD card
Seller: I do, are you interested in it?
Buyer: Yes I am whats your bottom dollar on it?
Seller: At the store they're selling for 100 so not much lower.
Buyer: I don't have a lot to spend here and I need one really bad.], [Summary: The conversation begins with the buyer expressing interest in purchasing an SD card. The seller responds by confirming availability and referencing market prices to set expectations. The buyer then reveals financial constraints and emphasizes urgency, indicating a need for negotiation. The seller maintains a firm stance on pricing, suggesting a potential impasse unless the buyer can offer a compelling reason or alternative. The interaction reflects a typical buyer-seller negotiation dynamic, with both parties trying to assert their positions.]>",FINAL_PRICE: $56,56.0,37,75,37.0,19.0,50.0,1
C_004ae9e50f4a4e2d8822823056edaf1e,scd,llama70b,False,"Seller: Hello how can I help you?
Buyer: I'm interested in purchasing the sub box.
Seller: Sure!
Buyer: What's the best price you can give me for it?
Seller: I am taking it out for $50. I can give it to you for $45. This costed me more than what I expected to be made. They're custom molded around the latch and the inside of the tailgate. The box is going to fit in most vehicles universally.
Buyer: How about $20?
Seller: That's too low. The last I can do is $40","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$25, $50, [Seller: Hello how can I help you?
Buyer: I'm interested in purchasing the sub box.
Seller: Sure!
Buyer: What's the best price you can give me for it?
Seller: I am taking it out for $50. I can give it to you for $45. This costed me more than what I expected to be made. They're custom molded around the latch and the inside of the tailgate. The box is going to fit in most vehicles universally.
Buyer: How about $20?
Seller: That's too low. The last I can do is $40], [Summary: The conversation begins with the seller offering assistance and the buyer expressing interest in a product. The buyer then negotiates for a lower price, prompting the seller to justify the value and offer a small discount. The buyer counters with a significantly lower offer, leading the seller to firmly reject it and propose a final price, indicating a willingness to negotiate but with limits. The seller maintains a firm stance on the value of the product throughout.]>","assistant<|end_header_id|>

FINAL_PRICE: $32.50",32.5,25,50,35.0,2.5,10.0,1
C_006f34c1a24348839c00beb7b1a00f31,scd,llama70b,False,"Seller: Hello there
Buyer: hi
Seller: What would you like to know about the product>
Buyer: any details andits condition?
Seller: Its like a regular gloves and in very good condition
Buyer: how much do they cost/
Seller: $10.00
Buyer: any lower?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$6, $10, [Seller: Hello there
Buyer: hi
Seller: What would you like to know about the product>
Buyer: any details andits condition?
Seller: Its like a regular gloves and in very good condition
Buyer: how much do they cost/
Seller: $10.00
Buyer: any lower?], [Summary: The conversation begins with a polite exchange as the buyer seeks information about a product. The seller provides basic details and reassures the buyer of the product's good condition. The buyer then inquires about the price, and upon learning it, attempts to negotiate for a lower price. The seller's responses are straightforward, maintaining a focus on providing information and addressing the buyer's questions.]>","assistant<|end_header_id|>

FINAL_PRICE: $8",8.0,6,10,8.0,0.0,0.0,1
C_0146a92afe234007a51fe1b4c7071ca1,scd,llama70b,False,"Seller: I have a wonderful phone for you if you are interested.
Buyer: I am interested. Did you just buy it?
Seller: I bought it two weeks ago but it just wasn't what I needed anymore.
Buyer: Would you be willing to work with the price?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$56, $80, [Seller: I have a wonderful phone for you if you are interested.
Buyer: I am interested. Did you just buy it?
Seller: I bought it two weeks ago but it just wasn't what I needed anymore.
Buyer: Would you be willing to work with the price?], [Summary: The conversation begins with the seller expressing enthusiasm and trying to engage the buyer's interest in a phone. The buyer responds positively, showing interest and curiosity about the phone's purchase history. The seller explains their reason for selling, maintaining a straightforward and honest tone. The buyer then shifts the conversation towards negotiation, indicating a willingness to purchase but seeking flexibility on the price. The interaction is cordial, with both parties open to discussion.]>","assistant<|end_header_id|>

FINAL_PRICE: $68",68.0,56,80,60.0,8.0,33.33333333333333,1
C_0150d45a7290453fa35102b4f2539918,scd,llama70b,False,"Buyer: hello how we doing today
Seller: Hi there.
Seller: I'm okay and you?
Buyer: I really need this LG cable because I can't find them anymore,
Seller: Well then I can solve your issue.  They're all original.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$13, $15, [Buyer: hello how we doing today
Seller: Hi there.
Seller: I'm okay and you?
Buyer: I really need this LG cable because I can't find them anymore,
Seller: Well then I can solve your issue.  They're all original.], [Summary: The conversation begins with a polite exchange of greetings, establishing a friendly tone. The buyer expresses a sense of urgency and need for a specific product, indicating a problem they hope to solve. The seller responds positively and confidently, offering a solution and assuring the buyer of the product's authenticity. The interaction maintains a cooperative and solution-oriented atmosphere, with the seller aiming to reassure and assist the buyer effectively.]>","assistant<|end_header_id|>

FINAL_PRICE: $14",14.0,13,15,13.0,1.0,50.0,1
C_0161690e2107455dbfce9c03ce19607e,scd,llama70b,False,"Seller: Hi - are you interested in my car?
Buyer: Hello i saw your post for your 2014 dodge charger featurig heated leather seats. I'm curious as if it's been insepected and if everything is running great
Seller: Everything works as it should and has been serviced at regular intervals.  If you would like to have your own mechanic take a look I'd be open to that as well.
Buyer: I will provide one when if i come to check on it just to make sure.i'd love to go 19000 as i spent my life savings on chocolate and running on a budget right now. Do you think that's possible?
Seller: I need to get something more family friendly now that my wife and I are expecting our first child.  I could go 22000","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$19000, $25000, [Seller: Hi - are you interested in my car?
Buyer: Hello i saw your post for your 2014 dodge charger featurig heated leather seats. I'm curious as if it's been insepected and if everything is running great
Seller: Everything works as it should and has been serviced at regular intervals.  If you would like to have your own mechanic take a look I'd be open to that as well.
Buyer: I will provide one when if i come to check on it just to make sure.i'd love to go 19000 as i spent my life savings on chocolate and running on a budget right now. Do you think that's possible?
Seller: I need to get something more family friendly now that my wife and I are expecting our first child.  I could go 22000], [Summary: The conversation begins with the buyer expressing interest and inquiring about the car's condition, while the seller reassures them of its maintenance. The buyer then attempts to negotiate the price, citing budget constraints humorously. The seller responds by explaining their reason for selling, indicating a willingness to negotiate but setting a higher price than the buyer's offer. Throughout, both parties maintain a polite and open tone, with the buyer using humor to ease negotiations.]>",FINAL_PRICE: $20500,20500.0,19000,25000,21000.0,500.0,8.333333333333332,1
C_01ac7239fef54abeb05a1e23c26b93e5,scd,llama70b,False,"Buyer: Hello, I am interested in the cabinets you have listed.
Seller: Hi, the cabinets are brand new and unopened - they're great, but just don't fit in my kitchen.
Buyer: How long have you had them?
Seller: I bought them about 3 months ago, and still have the receipts.
Buyer: Okay. Do you know if Home Depot can still special order these cabinets?
Seller: Yes, they still carry the line so you should still be able to order them.
Buyer: Okay, great! I am actually looking for four of them. Does this come with the hardware for them as well?
Seller: I have the hardware I purchased for them that I would be willing to throw in, I just need the space and to get these out of here!","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$48, $80, [Buyer: Hello, I am interested in the cabinets you have listed.
Seller: Hi, the cabinets are brand new and unopened - they're great, but just don't fit in my kitchen.
Buyer: How long have you had them?
Seller: I bought them about 3 months ago, and still have the receipts.
Buyer: Okay. Do you know if Home Depot can still special order these cabinets?
Seller: Yes, they still carry the line so you should still be able to order them.
Buyer: Okay, great! I am actually looking for four of them. Does this come with the hardware for them as well?
Seller: I have the hardware I purchased for them that I would be willing to throw in, I just need the space and to get these out of here!], [Summary: The conversation begins with the buyer expressing interest and the seller providing positive details about the cabinets. The buyer's questions indicate a cautious interest, while the seller remains accommodating and informative. As the buyer inquires further about availability and additional components, the seller becomes more eager to close the deal, offering extra hardware to facilitate the sale. The conversation maintains a cooperative tone, with the seller's willingness to negotiate reflecting an intention to finalize the transaction.]>","assistant<|end_header_id|>

FINAL_PRICE: $64",64.0,48,80,65.0,1.0,3.125,1
C_01e68ec46d114f53bdf6943d429cbb5e,scd,llama70b,False,"Seller: Are you interested in  My galaxy
Buyer: Yes, it looks like a great phone.  Can you tell me a little about its history?
Seller: I've had it for 6 months. It comes unlocked. The network is at@t
Buyer: So, it should work on any network that requires a SIM card, then, correct?  T-mobile for example?
Seller: Yes that is correct. I am selling it at 397 but am willing to negotiate price","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$301, $397, [Seller: Are you interested in  My galaxy
Buyer: Yes, it looks like a great phone.  Can you tell me a little about its history?
Seller: I've had it for 6 months. It comes unlocked. The network is at@t
Buyer: So, it should work on any network that requires a SIM card, then, correct?  T-mobile for example?
Seller: Yes that is correct. I am selling it at 397 but am willing to negotiate price], [Summary: The conversation begins with the buyer expressing interest in the phone and seeking more information. The seller responds with details about the phone's history and compatibility, maintaining a helpful and accommodating tone. The buyer seeks clarification on network compatibility, and the seller confirms, showing willingness to negotiate the price. The interaction is characterized by a cooperative and open exchange, with the seller aiming to facilitate a potential sale by being flexible and informative.]>","assistant<|end_header_id|>

FINAL_PRICE: $349",349.0,301,397,320.0,29.0,30.208333333333332,1
C_02dce7bcadcc42f087698f0e6bdcb5a0,scd,llama70b,False,"Seller: Hello
Buyer: Hi! How's the flooring of the apartments?
Seller: The apartments are in great condition, I think you'll be pleased.
Buyer: What type is it though? Tile or Carpet?
Seller: Oh, the apartments are hardwood throughout, except the bathrooms, which have shag carpeting.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$778, $1556, [Seller: Hello
Buyer: Hi! How's the flooring of the apartments?
Seller: The apartments are in great condition, I think you'll be pleased.
Buyer: What type is it though? Tile or Carpet?
Seller: Oh, the apartments are hardwood throughout, except the bathrooms, which have shag carpeting.], [Summary: The conversation begins with a friendly greeting and a general positive assurance from the seller about the apartment's condition. The buyer's inquiry shifts to specifics about the flooring, indicating a focus on details. The seller responds with precise information, maintaining a positive tone while addressing the buyer's curiosity. The interaction remains cordial, with the seller providing clear answers to the buyer's questions, aiming to satisfy their interest and potentially persuade them of the apartment's appeal.]>",FINAL_PRICE: $1167,1167.0,778,1556,1350.0,183.0,23.52185089974293,1
C_02f9b9cfe382463ea5f6b6ecb689b1ec,scd,llama70b,False,"Buyer: hi
Seller: Hey get this great car today before it is gone!
Buyer: it looks good, is it in good condition?
Seller: It is in great condition. It has 53K miles on it.
Buyer: I can offer you 15,000 in cash today if you are interested.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$10400, $20800, [Buyer: hi
Seller: Hey get this great car today before it is gone!
Buyer: it looks good, is it in good condition?
Seller: It is in great condition. It has 53K miles on it.
Buyer: I can offer you 15,000 in cash today if you are interested.], [Summary: The conversation begins with the seller enthusiastically promoting a car, aiming to create urgency. The buyer responds with interest but seeks assurance about the car's condition, indicating a cautious approach. The seller maintains a positive tone, providing specific details to reassure the buyer. The buyer then shifts to negotiation, making a cash offer, signaling a serious intent to purchase while testing the seller's flexibility on price.]>","assistant<|end_header_id|>

FINAL_PRICE: $16100",16100.0,10400,20800,15000.0,1100.0,10.576923076923077,1
