dialogue_id,summary_type,model_type,include_intentions,conversation,prompt,response,actual,predicted,correct,donation_amount
20180717-200206_41_live,none,llama70b,False,"Persuader: Hey, how are you doing, have you ever heard of a charity called Save the Children?
Persuadee: No I havent.
Persuadee: What is it about?
Persuader: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?
Persuadee: No thank you.
Persuader: May I ask why?
Persuader: Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?
Persuadee: I am already making a difference in many children lives.
Persuader: That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hey, how are you doing, have you ever heard of a charity called Save the Children?
Persuadee: No I havent.
Persuadee: What is it about?
Persuader: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?
Persuadee: No thank you.
Persuader: May I ask why?
Persuader: Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?
Persuadee: I am already making a difference in many children lives.
Persuader: That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?","assistant<|end_header_id|>

DONATION: NO

The persuadee has already declined the persuader's initial request and has not shown any signs of wavering or reconsidering. In fact, their response that they are ""already making a difference in many children's lives"" suggests that they are confident in their current efforts and may not see a need to support another organization. While the persuader attempts to build on this sentiment and redirect the persuadee's efforts towards Save the Children, the persuadee's initial resistance and lack of engagement suggest that they are unlikely to make a donation on the spot.",yes,no,0,0.5
20180719-120436_413_live,none,llama70b,False,"Persuader: Hi there
Persuadee: Hello
Persuader: Have you heard of the Save the Children charity?
Persuadee: I actually have not.
Persuadee: What do they do to help children?
Persuader: It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.
Persuadee: I'm glad a charity like that exists internationally.
Persuader: It's for a great cause.
Persuader: Children are the future and unfortunately too many of them don't get the quality of life that we take advantage of today.
Persuader: Sometimes we're in a better place and we have to do what we can to help their conditions a little bit.
Persuader: Even little bits can go a long way, you know?
Persuadee: it does, and charities can go further with the amount of money donated.
Persuader: Absolutely.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hi there
Persuadee: Hello
Persuader: Have you heard of the Save the Children charity?
Persuadee: I actually have not.
Persuadee: What do they do to help children?
Persuader: It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.
Persuadee: I'm glad a charity like that exists internationally.
Persuader: It's for a great cause.
Persuader: Children are the future and unfortunately too many of them don't get the quality of life that we take advantage of today.
Persuader: Sometimes we're in a better place and we have to do what we can to help their conditions a little bit.
Persuader: Even little bits can go a long way, you know?
Persuadee: it does, and charities can go further with the amount of money donated.
Persuader: Absolutely.","assistant<|end_header_id|>

DONATION: NO

The conversation is informative and the persuadee seems to be interested in the charity's mission, but there is no clear ask for a donation and the persuadee does not indicate a willingness to donate. The conversation ends with a general discussion about the effectiveness of charities, but no specific action is suggested or taken.",no,no,1,0.0
20180719-122534_38_live,none,llama70b,False,"Persuader: It would be really helpful if you donated to Save the Children fund!
Persuadee: What does the money go towards if I donate?
Persuader: When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.
Persuader: We ensure children's unique needs are met and their voices are heard.
Persuader: We deliver lasting results for millions of children, including those hardest to reach.
Persuader: We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future.
Persuadee: Where in the world are the children located?
Persuader: US and global, wherever children need help, they are there.
Persuadee: If I donate $25, does that go a long way?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: It would be really helpful if you donated to Save the Children fund!
Persuadee: What does the money go towards if I donate?
Persuader: When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.
Persuader: We ensure children's unique needs are met and their voices are heard.
Persuader: We deliver lasting results for millions of children, including those hardest to reach.
Persuader: We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future.
Persuadee: Where in the world are the children located?
Persuader: US and global, wherever children need help, they are there.
Persuadee: If I donate $25, does that go a long way?","assistant<|end_header_id|>

DONATION: YES",yes,yes,1,0.5
20180719-165941_192_live,none,llama70b,False,"Persuader: Hello
Persuadee: Yea, hello.
Persuadee: Glad you took your time.
Persuader: I'd like to speak to you about Save the Children.
Persuader: Do you have any kids?
Persuadee: No, I do not have kids.
Persuadee: What is Save the Children about?
Persuader: Save the Children is an international non-governemnt organization.
Persuader: Their goal is to promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: That sounds really cool.
Persuadee: What specific countries do they help out?
Persuader: They help out many third world countries from all over the world.
Persuadee: Okay.
Persuadee: I guess I would look them up sometime to find out more.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hello
Persuadee: Yea, hello.
Persuadee: Glad you took your time.
Persuader: I'd like to speak to you about Save the Children.
Persuader: Do you have any kids?
Persuadee: No, I do not have kids.
Persuadee: What is Save the Children about?
Persuader: Save the Children is an international non-governemnt organization.
Persuader: Their goal is to promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: That sounds really cool.
Persuadee: What specific countries do they help out?
Persuader: They help out many third world countries from all over the world.
Persuadee: Okay.
Persuadee: I guess I would look them up sometime to find out more.","assistant<|end_header_id|>

DONATION: NO",no,no,1,0.0
20180719-181845_211_live,none,llama70b,False,"Persuader: Hello!
Persuader: How're you doing today?
Persuadee: Hey, kind of tired but overall good.
Persuadee: How are you?
Persuader: I'm doing alright.
Persuader: I just had a thought on my mind that I wanted to ask you about
Persuadee: Yea?
Persuadee: Go for it.
Persuader: Do you donate when you get the chance?
Persuader: I was thinking about how everywhere you go, they ask you to donate .50 here and your change there.
Persuader: I think I need to actually start donating.
Persuader: How does it make you feel?
Persuader: Do you donate?
Persuadee: I don't like to donate to for profit businesses.
Persuadee: I feel like they'll just take my donation and get their tax credit.
Persuader: How do you feel about Save the Children?
Persuader: My nephew had to get taken into the hospital not too long ago and I just got the letter in the mail saying they used Save the Childrens donation money to help him.
Persuader: I'm thinking about donating to them.
Persuadee: I'm sorry to hear about your nephew?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hello!
Persuader: How're you doing today?
Persuadee: Hey, kind of tired but overall good.
Persuadee: How are you?
Persuader: I'm doing alright.
Persuader: I just had a thought on my mind that I wanted to ask you about
Persuadee: Yea?
Persuadee: Go for it.
Persuader: Do you donate when you get the chance?
Persuader: I was thinking about how everywhere you go, they ask you to donate .50 here and your change there.
Persuader: I think I need to actually start donating.
Persuader: How does it make you feel?
Persuader: Do you donate?
Persuadee: I don't like to donate to for profit businesses.
Persuadee: I feel like they'll just take my donation and get their tax credit.
Persuader: How do you feel about Save the Children?
Persuader: My nephew had to get taken into the hospital not too long ago and I just got the letter in the mail saying they used Save the Childrens donation money to help him.
Persuader: I'm thinking about donating to them.
Persuadee: I'm sorry to hear about your nephew?","assistant<|end_header_id|>

DONATION: NO

The persuadee seems skeptical about donating in general, especially to for-profit businesses. Although they express sympathy for the persuader's nephew, there is no indication that they are moved to donate to Save the Children or that they are willing to reconsider their stance on donating. The conversation does not appear to be building towards a donation, and the persuadee's responses are more focused on expressing their existing views rather than being persuaded by the persuader's personal experience.",no,no,1,0.0
20180719-182453_233_live,none,llama70b,False,"Persuader: Hello!
Persuadee: Hey
Persuader: So, are you interested in charities that help save the children?
Persuadee: Which children?
Persuader: What does the charity do exactly?
Persuader: Instead of the typical charities that help children in a far away land, we here use state of the art location technology to help children in need right in your own community so you can see your money at work personally
Persuadee: What would my money do exactly
Persuader: It would go to the three most important things that a child need.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hello!
Persuadee: Hey
Persuader: So, are you interested in charities that help save the children?
Persuadee: Which children?
Persuader: What does the charity do exactly?
Persuader: Instead of the typical charities that help children in a far away land, we here use state of the art location technology to help children in need right in your own community so you can see your money at work personally
Persuadee: What would my money do exactly
Persuader: It would go to the three most important things that a child need.","assistant<|end_header_id|>

DONATION: NO

The persuadee seems to be showing some interest in the charity, but they are still in the information-gathering stage and haven't expressed any strong emotional connection or commitment to donating. They are asking specific questions about the charity and its impact, which suggests they are evaluating the persuader's claims but haven't yet made a decision to donate. The persuader hasn't yet provided enough specific details about how the money would be used or the impact it would have, which may be necessary to secure a donation on the spot.",no,no,1,0.0
20180719-204358_391_live,none,llama70b,False,"Persuader: Hey there, glad we can talk tonight.
Persuadee: Hello, same!
Persuader: I'd like to talk to you about something that's very dear to me.
Persuader: Do you have a moment?
Persuadee: Yeah, totally.
Persuadee: Go ahead
Persuader: What was it like for you growing up?
Persuader: Were your basic needs met like food, place to live, water, etc?
Persuadee: Well, I grew up in a wealthy house.
Persuadee: My mother and father both have a PhD so their jobs made possible for us to be able to cover all that and so much more
Persuader: You are very lucky.
Persuader: I wish all kids could have that kind of opportunity.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hey there, glad we can talk tonight.
Persuadee: Hello, same!
Persuader: I'd like to talk to you about something that's very dear to me.
Persuader: Do you have a moment?
Persuadee: Yeah, totally.
Persuadee: Go ahead
Persuader: What was it like for you growing up?
Persuader: Were your basic needs met like food, place to live, water, etc?
Persuadee: Well, I grew up in a wealthy house.
Persuadee: My mother and father both have a PhD so their jobs made possible for us to be able to cover all that and so much more
Persuader: You are very lucky.
Persuader: I wish all kids could have that kind of opportunity.","assistant<|end_header_id|>

DONATION: NO

Reasoning: The conversation has just started and the persuader is still building rapport and gathering information about the persuadee's background. The persuader has not yet made a specific ask or presented a clear reason for a donation, so it's unlikely the persuadee will make a donation on the spot at the end of this conversation.",no,no,1,0.0
20180719-211253_768_live,none,llama70b,False,"Persuader: Hey, good to be chatting with you tonight.
Persuadee: Hi!
Persuadee: Looking forward chatting with you too.
Persuader: I'd like to talk to use about a vulnerable group.
Persuader: Do you have a moment?
Persuadee: Yes, I do
Persuader: I'd like to talk about children.
Persuader: What was life like for you growing up?
Persuader: Did you have to worry about your basic needs at all?
Persuader: Like food, place to live, safety, etc?
Persuadee: There were periods in my childhood when money was very short and we had our telephone or power cut off, but I always had a safe place to live and food to eat.
Persuader: It is really difficult having to grow up having to worry about basic needs.
Persuader: I'm glad you are able to look for what to be grateful for.
Persuadee: What was life like for you growing up?
Persuadee: Did you have any worries about food, shelter, safety, etc.?
Persuader: I guess there are more people than we know who grew up with no worries.
Persuader: I grew up worrying about my safety and whether I'd have a place to live.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hey, good to be chatting with you tonight.
Persuadee: Hi!
Persuadee: Looking forward chatting with you too.
Persuader: I'd like to talk to use about a vulnerable group.
Persuader: Do you have a moment?
Persuadee: Yes, I do
Persuader: I'd like to talk about children.
Persuader: What was life like for you growing up?
Persuader: Did you have to worry about your basic needs at all?
Persuader: Like food, place to live, safety, etc?
Persuadee: There were periods in my childhood when money was very short and we had our telephone or power cut off, but I always had a safe place to live and food to eat.
Persuader: It is really difficult having to grow up having to worry about basic needs.
Persuader: I'm glad you are able to look for what to be grateful for.
Persuadee: What was life like for you growing up?
Persuadee: Did you have any worries about food, shelter, safety, etc.?
Persuader: I guess there are more people than we know who grew up with no worries.
Persuader: I grew up worrying about my safety and whether I'd have a place to live.","assistant<|end_header_id|>

DONATION: YES

The persuader has effectively established a connection with the persuadee by sharing a personal experience and creating a sense of mutual understanding. The persuadee has also shown empathy and willingness to engage in the conversation. The persuader's goal is to talk about a vulnerable group (children) and has successfully transitioned the conversation to a personal level, making it more relatable and emotional. The persuadee's past experience with financial struggles and their expression of gratitude suggest they may be receptive to helping others in a similar situation. The persuader's personal story of struggling with safety and housing also adds to the emotional appeal. Given the persuasive tactics used, it's likely the persuadee will be motivated to make a donation on the spot.",yes,yes,1,0.5
20180719-211301_463_live,none,llama70b,False,"Persuader: Have you heard of the Save The Children Foundation?
Persuadee: No, I have not.
Persuadee: Can you tell me about it?
Persuader: They ensure children's rights to health, education, safety, etc.
Persuadee: Is it just in one country, or do they work around the world?
Persuader: Yes.
Persuader: For example, the child refugees from Syria.
Persuader: In the first two months of this year, 1000 kids were killed in Syria.
Persuader: Crazy.
Persuadee: That's so sad.
Persuadee: I wish I could do something to help.
Persuader: Have you ever donated to a charity?
Persuadee: Yeah, a few local charities.
Persuadee: Like our animal shelter, a low income housing group, foster care organziations, etc
Persuader: That's very nice of you.
Persuader: If you'd like to get a better idea of what Save The Children does, and how to possibly donate, you can visit their website at  URL","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Have you heard of the Save The Children Foundation?
Persuadee: No, I have not.
Persuadee: Can you tell me about it?
Persuader: They ensure children's rights to health, education, safety, etc.
Persuadee: Is it just in one country, or do they work around the world?
Persuader: Yes.
Persuader: For example, the child refugees from Syria.
Persuader: In the first two months of this year, 1000 kids were killed in Syria.
Persuader: Crazy.
Persuadee: That's so sad.
Persuadee: I wish I could do something to help.
Persuader: Have you ever donated to a charity?
Persuadee: Yeah, a few local charities.
Persuadee: Like our animal shelter, a low income housing group, foster care organziations, etc
Persuader: That's very nice of you.
Persuader: If you'd like to get a better idea of what Save The Children does, and how to possibly donate, you can visit their website at  URL","assistant<|end_header_id|>

DONATION: NO

Reasoning: Although the persuadee seems empathetic and concerned about the cause, the conversation does not build up to a clear ask for a donation. The persuader provides information and expresses appreciation for the persuadee's past charitable efforts, but does not make a direct request for a donation. The conversation ends with an invitation to visit the website, which may lead to a future donation, but does not result in an immediate commitment.",no,no,1,0.0
20180719-211846_176_live,none,llama70b,False,"Persuader: hi, how are you?
Persuadee: I'm doing well thank you
Persuader: that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East
Persuadee: That is absolutely terrible.
Persuadee: Are there any good charities that are helping on this issue?
Persuader: I recently read from an organization called Save a Children, which works hard to protect these children and needs financial help to continue
Persuadee: How can someone help?
Persuadee: I would be willing to donate my time and perhaps some money.
Persuader: you can help by donating what you can, you can even help with your win in mturk, I think these children need us now
Persuadee: How exactly does the money help the cause?
Persuadee: What's it spent on?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: hi, how are you?
Persuadee: I'm doing well thank you
Persuader: that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East
Persuadee: That is absolutely terrible.
Persuadee: Are there any good charities that are helping on this issue?
Persuader: I recently read from an organization called Save a Children, which works hard to protect these children and needs financial help to continue
Persuadee: How can someone help?
Persuadee: I would be willing to donate my time and perhaps some money.
Persuader: you can help by donating what you can, you can even help with your win in mturk, I think these children need us now
Persuadee: How exactly does the money help the cause?
Persuadee: What's it spent on?","assistant<|end_header_id|>

DONATION: NO

Although the persuadee is sympathetic to the cause and has expressed willingness to help, they are still asking questions about how the money is spent, indicating that they want more information before making a decision. This suggests that they are unlikely to make a donation on the spot at the end of the conversation.",no,no,1,0.0
