dialogue_id,summary_type,model_type,include_intentions,conversation,prompt,response,actual,predicted,correct,donation_amount
20180717-200206_41_live,scm,llama70b,False,"Persuader: Hey, how are you doing, have you ever heard of a charity called Save the Children?
Persuadee: No I havent.
Persuadee: What is it about?
Persuader: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?
Persuadee: No thank you.
Persuader: May I ask why?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hey, how are you doing, have you ever heard of a charity called Save the Children?
Persuadee: No I havent.
Persuadee: What is it about?
Persuader: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?
Persuadee: No thank you.
Persuader: May I ask why? user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and introduces a topic related to helping others, indicating high warmth. ER also provides clear and informative details about the organization, demonstrating high competence.

user2 (EE):
  warmth: low
  competence: low
  explanation: EE's responses are brief and lack engagement, showing low warmth. The lack of follow-up questions or detailed responses suggests a limited understanding or interest, indicating low competence in the context of the conversation.","assistant<|end_header_id|>

DONATION: NO",yes,no,0,0.5
20180719-120436_413_live,scm,llama70b,False,"Persuader: Hi there
Persuadee: Hello
Persuader: Have you heard of the Save the Children charity?
Persuadee: I actually have not.
Persuadee: What do they do to help children?
Persuader: It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.
Persuadee: I'm glad a charity like that exists internationally.
Persuader: It's for a great cause.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hi there
Persuadee: Hello
Persuader: Have you heard of the Save the Children charity?
Persuadee: I actually have not.
Persuadee: What do they do to help children?
Persuader: It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.
Persuadee: I'm glad a charity like that exists internationally.
Persuader: It's for a great cause. user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation warmly and provides clear, informative responses about the charity, demonstrating both friendliness and knowledge. Their explanation of the charity's mission reflects competence, while their positive tone and support for the cause indicate warmth.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds politely and shows genuine interest in learning more, which reflects high warmth. Their engagement and thoughtful questions about the charity demonstrate competence, as they actively seek to understand the organization's impact.","assistant<|end_header_id|>

DONATION: NO

The conversation has just begun, and the persuadee is still in the process of learning about the charity. While the persuadee is showing interest and the persuader is providing clear and informative responses, there is no indication that the persuadee is ready to make a donation yet. The conversation has not progressed to a point where a direct ask has been made, and the persuadee has not expressed a clear intention to donate.",no,no,1,0.0
20180719-122534_38_live,scm,llama70b,False,"Persuader: It would be really helpful if you donated to Save the Children fund!
Persuadee: What does the money go towards if I donate?
Persuader: When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.
Persuader: We ensure children's unique needs are met and their voices are heard.
Persuader: We deliver lasting results for millions of children, including those hardest to reach.
Persuader: We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: It would be really helpful if you donated to Save the Children fund!
Persuadee: What does the money go towards if I donate?
Persuader: When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.
Persuader: We ensure children's unique needs are met and their voices are heard.
Persuader: We deliver lasting results for millions of children, including those hardest to reach.
Persuader: We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future. user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through their passionate appeal for donations and emphasis on helping vulnerable children. Their competence is also high, as they provide detailed information about the organization's efforts and impact, indicating a strong understanding of the cause and its operations.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as their response is limited to a factual inquiry without expressing empathy or support. However, their competence is high, as they ask a relevant question that seeks to understand the allocation of donations, indicating a thoughtful and informed approach.","assistant<|end_header_id|>

DONATION: NO

The persuadee's initial response (EE) shows low warmth, indicating a lack of emotional investment in the cause. Although they ask a relevant question, their tone is more inquiring than enthusiastic. The persuader's responses (ER) are passionate and detailed, but the persuadee's low warmth at the beginning of the conversation suggests that they may not be easily swayed by emotional appeals. Without a clear indication of increased warmth or engagement from the persuadee, it's unlikely that they will make a donation on the spot.",yes,no,0,0.5
20180719-165941_192_live,scm,llama70b,False,"Persuader: Hello
Persuadee: Yea, hello.
Persuadee: Glad you took your time.
Persuader: I'd like to speak to you about Save the Children.
Persuader: Do you have any kids?
Persuadee: No, I do not have kids.
Persuadee: What is Save the Children about?
Persuader: Save the Children is an international non-governemnt organization.
Persuader: Their goal is to promotes children's rights, provides relief and helps support children in developing countries.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hello
Persuadee: Yea, hello.
Persuadee: Glad you took your time.
Persuader: I'd like to speak to you about Save the Children.
Persuader: Do you have any kids?
Persuadee: No, I do not have kids.
Persuadee: What is Save the Children about?
Persuader: Save the Children is an international non-governemnt organization.
Persuader: Their goal is to promotes children's rights, provides relief and helps support children in developing countries. user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation politely and provides clear, informative responses about the organization, indicating a friendly and knowledgeable demeanor.

user2 (EE):
  warmth: low
  competence: low
  explanation: EE's responses are curt and lack engagement, suggesting a disinterested tone. The initial sarcastic remark about taking time further implies low warmth, while the lack of detailed follow-up questions or contributions suggests low competence in the context of the conversation.","assistant<|end_header_id|>

DONATION: NO

The persuadee's low warmth and competence, as indicated by their curt responses and lack of engagement, suggest that they are not receptive to the persuader's message. Additionally, the persuadee's initial sarcastic remark and lack of interest in the organization's mission do not bode well for a successful persuasion attempt. It is unlikely that the persuadee will be motivated to make a donation on the spot.",no,no,1,0.0
20180719-181845_211_live,scm,llama70b,False,"Persuader: Hello!
Persuader: How're you doing today?
Persuadee: Hey, kind of tired but overall good.
Persuadee: How are you?
Persuader: I'm doing alright.
Persuader: I just had a thought on my mind that I wanted to ask you about
Persuadee: Yea?
Persuadee: Go for it.
Persuader: Do you donate when you get the chance?
Persuader: I was thinking about how everywhere you go, they ask you to donate .50 here and your change there.
Persuader: I think I need to actually start donating.
Persuader: How does it make you feel?
Persuader: Do you donate?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hello!
Persuader: How're you doing today?
Persuadee: Hey, kind of tired but overall good.
Persuadee: How are you?
Persuader: I'm doing alright.
Persuader: I just had a thought on my mind that I wanted to ask you about
Persuadee: Yea?
Persuadee: Go for it.
Persuader: Do you donate when you get the chance?
Persuader: I was thinking about how everywhere you go, they ask you to donate .50 here and your change there.
Persuader: I think I need to actually start donating.
Persuader: How does it make you feel?
Persuader: Do you donate? user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses curiosity about EE's perspective, indicating warmth. ER's thoughtful approach to discussing donations and self-reflection on personal actions suggests competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds to ER's greeting and inquiry with openness and reciprocates the question, showing warmth. EE's willingness to engage in the conversation and prompt ER to share their thoughts demonstrates competence.","assistant<|end_header_id|>

DONATION: NO

Reasoning: Although the persuadee (EE) has shown warmth and competence in the conversation, there is no indication that they are being persuaded to make a donation on the spot. In fact, the conversation seems more focused on the persuader's (ER) own thoughts and feelings about donating, rather than making a direct ask to the persuadee. The persuadee has not expressed any willingness to donate or shown any signs of being swayed by the persuader's words. The conversation appears to be more of a casual discussion than a persuasive pitch.",no,no,1,0.0
20180719-182453_233_live,scm,llama70b,False,"Persuader: Hello!
Persuadee: Hey
Persuader: So, are you interested in charities that help save the children?
Persuadee: Which children?
Persuader: What does the charity do exactly?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hello!
Persuadee: Hey
Persuader: So, are you interested in charities that help save the children?
Persuadee: Which children?
Persuader: What does the charity do exactly? user1 (ER):
  warmth: high
  competence: low
  explanation: User1 initiates the conversation with a friendly greeting and expresses interest in charitable activities, indicating high warmth. However, their responses lack detail and specificity, suggesting lower competence in the context of the discussion.

user2 (EE):
  warmth: low
  competence: high
  explanation: User2's responses are brief and somewhat skeptical, which may be perceived as low warmth. Their direct questioning and focus on specifics demonstrate a higher level of competence in seeking detailed information.","assistant<|end_header_id|>

DONATION: NO",no,no,1,0.0
20180719-204358_391_live,scm,llama70b,False,"Persuader: Hey there, glad we can talk tonight.
Persuadee: Hello, same!
Persuader: I'd like to talk to you about something that's very dear to me.
Persuader: Do you have a moment?
Persuadee: Yeah, totally.
Persuadee: Go ahead
Persuader: What was it like for you growing up?
Persuader: Were your basic needs met like food, place to live, water, etc?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hey there, glad we can talk tonight.
Persuadee: Hello, same!
Persuader: I'd like to talk to you about something that's very dear to me.
Persuader: Do you have a moment?
Persuadee: Yeah, totally.
Persuadee: Go ahead
Persuader: What was it like for you growing up?
Persuader: Were your basic needs met like food, place to live, water, etc? user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly tone and expresses eagerness to engage, indicating high warmth. The questions posed are thoughtful and show an interest in understanding EE's experiences, reflecting high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and promptly, showing openness and willingness to engage, which indicates high warmth. The ability to quickly affirm and encourage ER to continue suggests high competence in communication.","assistant<|end_header_id|>

DONATION: NO

Explanation: While the conversation has started on a positive note, with both parties showing high warmth and competence, the conversation has only just begun and the persuader has not yet made a clear ask or presented a compelling reason for the persuadee to make a donation. The conversation is still in the rapport-building phase, and it's unlikely that the persuadee will make a donation on the spot without further discussion and persuasion.",no,no,1,0.0
20180719-211253_768_live,scm,llama70b,False,"Persuader: Hey, good to be chatting with you tonight.
Persuadee: Hi!
Persuadee: Looking forward chatting with you too.
Persuader: I'd like to talk to use about a vulnerable group.
Persuader: Do you have a moment?
Persuadee: Yes, I do
Persuader: I'd like to talk about children.
Persuader: What was life like for you growing up?
Persuader: Did you have to worry about your basic needs at all?
Persuader: Like food, place to live, safety, etc?
Persuadee: There were periods in my childhood when money was very short and we had our telephone or power cut off, but I always had a safe place to live and food to eat.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hey, good to be chatting with you tonight.
Persuadee: Hi!
Persuadee: Looking forward chatting with you too.
Persuader: I'd like to talk to use about a vulnerable group.
Persuader: Do you have a moment?
Persuadee: Yes, I do
Persuader: I'd like to talk about children.
Persuader: What was life like for you growing up?
Persuader: Did you have to worry about your basic needs at all?
Persuader: Like food, place to live, safety, etc?
Persuadee: There were periods in my childhood when money was very short and we had our telephone or power cut off, but I always had a safe place to live and food to eat. user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses concern for a vulnerable group, indicating high warmth. Their structured approach to discussing sensitive topics suggests high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and engages openly with ER's questions, showing high warmth. EE's ability to reflect on personal experiences and communicate them clearly indicates high competence.","assistant<|end_header_id|>

DONATION: YES

Reasoning: The conversation has started on a positive note, with both the Persuader and Persuadee showing high warmth and competence. The Persuadee has shared a personal experience, which indicates a level of trust and openness. The Persuader has also successfully framed the conversation around a vulnerable group, which can evoke empathy and a desire to help. Given the positive tone and the Persuadee's willingness to engage, it is likely that the Persuadee will be receptive to a request for a donation.",yes,yes,1,0.5
20180719-211301_463_live,scm,llama70b,False,"Persuader: Have you heard of the Save The Children Foundation?
Persuadee: No, I have not.
Persuadee: Can you tell me about it?
Persuader: They ensure children's rights to health, education, safety, etc.
Persuadee: Is it just in one country, or do they work around the world?
Persuader: Yes.
Persuader: For example, the child refugees from Syria.
Persuader: In the first two months of this year, 1000 kids were killed in Syria.
Persuader: Crazy.
Persuadee: That's so sad.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Have you heard of the Save The Children Foundation?
Persuadee: No, I have not.
Persuadee: Can you tell me about it?
Persuader: They ensure children's rights to health, education, safety, etc.
Persuadee: Is it just in one country, or do they work around the world?
Persuader: Yes.
Persuader: For example, the child refugees from Syria.
Persuader: In the first two months of this year, 1000 kids were killed in Syria.
Persuader: Crazy.
Persuadee: That's so sad. user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by discussing a charitable organization and expressing concern for children's welfare. Their competence is high as they provide specific information about the organization’s global impact and cite relevant statistics.

user2 (EE):
  warmth: high
  competence: low
  explanation: EE shows high warmth by expressing interest and empathy towards the topic. However, their competence appears low as they rely on ER for information and do not contribute additional knowledge or insights to the conversation.","assistant<|end_header_id|>

DONATION: YES

The persuadee (EE) has shown high warmth throughout the conversation, expressing interest and empathy towards the topic. They have also asked follow-up questions, indicating engagement and concern for the issue. Although their competence is low, their emotional investment in the conversation suggests that they are likely to be persuaded to make a donation. The persuader (ER) has effectively presented a clear and compelling case for the Save The Children Foundation, which may have resonated with the persuadee's emotional response.",no,yes,0,0.0
20180719-211846_176_live,scm,llama70b,False,"Persuader: hi, how are you?
Persuadee: I'm doing well thank you
Persuader: that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East
Persuadee: That is absolutely terrible.
Persuadee: Are there any good charities that are helping on this issue?
Persuader: I recently read from an organization called Save a Children, which works hard to protect these children and needs financial help to continue
Persuadee: How can someone help?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: hi, how are you?
Persuadee: I'm doing well thank you
Persuader: that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East
Persuadee: That is absolutely terrible.
Persuadee: Are there any good charities that are helping on this issue?
Persuader: I recently read from an organization called Save a Children, which works hard to protect these children and needs financial help to continue
Persuadee: How can someone help? user1 (ER):
  warmth: low
  competence: high
  explanation: ER initiates the conversation with a shocking fact, which may come across as lacking warmth. However, they provide specific information about an organization, indicating competence in the topic discussed.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds empathetically to the information shared, showing high warmth. They also ask relevant questions about charities and ways to help, demonstrating high competence in engaging with the topic constructively.","assistant<|end_header_id|>

DONATION: YES",no,yes,0,0.0
