dialogue_id,summary_type,model_type,include_intentions,conversation,prompt,response,actual,predicted,correct,donation_amount
20180717-200206_41_live,scd,llama70b,False,"Persuader: Hey, how are you doing, have you ever heard of a charity called Save the Children?
Persuadee: No I havent.
Persuadee: What is it about?
Persuader: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?
Persuadee: No thank you.
Persuader: May I ask why?
Persuader: Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?
Persuadee: I am already making a difference in many children lives.
Persuader: That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?
Persuadee: I have donated 15 years of my life to charity
Persuader: I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight?
Persuadee: No thank you
Persuader: You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world?
Persuadee: No thank you
Persuader: Do you have children yourself?
Persuader: What if your children were in a position these kids are in, wouldn't you want someone to help them?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hey, how are you doing, have you ever heard of a charity called Save the Children?
Persuadee: No I havent.
Persuadee: What is it about?
Persuader: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?
Persuadee: No thank you.
Persuader: May I ask why?
Persuader: Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?
Persuadee: I am already making a difference in many children lives.
Persuader: That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?
Persuadee: I have donated 15 years of my life to charity
Persuader: I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight?
Persuadee: No thank you
Persuader: You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world?
Persuadee: No thank you
Persuader: Do you have children yourself?
Persuader: What if your children were in a position these kids are in, wouldn't you want someone to help them? The conversation begins with ER introducing a charity and attempting to engage EE's interest. Despite EE's initial disinterest and polite refusal, ER persists, employing emotional appeals and hypothetical scenarios to persuade EE to contribute. EE maintains a firm stance, repeatedly declining to participate, while ER continues to probe and challenge EE's reasons for not donating. Throughout, ER's strategy shifts from informative to increasingly personal and emotional, while EE remains consistent in their refusal.","assistant<|end_header_id|>

DONATION: NO",yes,no,0,0.5
20180719-120436_413_live,scd,llama70b,False,"Persuader: Hi there
Persuadee: Hello
Persuader: Have you heard of the Save the Children charity?
Persuadee: I actually have not.
Persuadee: What do they do to help children?
Persuader: It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.
Persuadee: I'm glad a charity like that exists internationally.
Persuader: It's for a great cause.
Persuader: Children are the future and unfortunately too many of them don't get the quality of life that we take advantage of today.
Persuader: Sometimes we're in a better place and we have to do what we can to help their conditions a little bit.
Persuader: Even little bits can go a long way, you know?
Persuadee: it does, and charities can go further with the amount of money donated.
Persuader: Absolutely.
Persuader: I remember seeing ads on the television about it and it breaks my hear to see children so sad and suffering in conditions that they live in.
Persuader: I haven't personally witnessed experiences first hand, however, it comes down to basic human needs.
Persuadee: It's sad to think being born in the wrong conditions can have such a lifelong impact.
Persuader: Exactly.
Persuader: It's not like we really get the choice of how/when/where we are born.
Persuader: It's a matter of chance.
Persuader: It's unfair to be born into conditions like that.
Persuadee: Hopefully, more the people born more lucky can lend a hand.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hi there
Persuadee: Hello
Persuader: Have you heard of the Save the Children charity?
Persuadee: I actually have not.
Persuadee: What do they do to help children?
Persuader: It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.
Persuadee: I'm glad a charity like that exists internationally.
Persuader: It's for a great cause.
Persuader: Children are the future and unfortunately too many of them don't get the quality of life that we take advantage of today.
Persuader: Sometimes we're in a better place and we have to do what we can to help their conditions a little bit.
Persuader: Even little bits can go a long way, you know?
Persuadee: it does, and charities can go further with the amount of money donated.
Persuader: Absolutely.
Persuader: I remember seeing ads on the television about it and it breaks my hear to see children so sad and suffering in conditions that they live in.
Persuader: I haven't personally witnessed experiences first hand, however, it comes down to basic human needs.
Persuadee: It's sad to think being born in the wrong conditions can have such a lifelong impact.
Persuader: Exactly.
Persuader: It's not like we really get the choice of how/when/where we are born.
Persuader: It's a matter of chance.
Persuader: It's unfair to be born into conditions like that.
Persuadee: Hopefully, more the people born more lucky can lend a hand. The conversation begins with a neutral exchange of greetings before transitioning into an informative dialogue about a charity organization. ER adopts a persuasive and empathetic tone, emphasizing the importance of supporting children in need. EE responds with agreement and shared sentiment, expressing appreciation for the charity's work. The conversation maintains a compassionate and reflective tone, with both speakers aligning on the moral responsibility of helping others, particularly those born into less fortunate circumstances.","assistant<|end_header_id|>

DONATION: YES",no,yes,0,0.0
20180719-122534_38_live,scd,llama70b,False,"Persuader: It would be really helpful if you donated to Save the Children fund!
Persuadee: What does the money go towards if I donate?
Persuader: When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.
Persuader: We ensure children's unique needs are met and their voices are heard.
Persuader: We deliver lasting results for millions of children, including those hardest to reach.
Persuader: We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future.
Persuadee: Where in the world are the children located?
Persuader: US and global, wherever children need help, they are there.
Persuadee: If I donate $25, does that go a long way?
Persuader: Absolutely, a small amount of money for us turns out to be life changing for those in need.
Persuader: A dollar can buy a lot!
Persuadee: Will it help towards education?
Persuader: Yes, it is one of the core programs.
Persuader: It leads children out of poverty so is a large focus.
Persuadee: Do you accept monthly donations of smaller amounts?
Persuader: You can do a one time donation or a monthly subscription.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: It would be really helpful if you donated to Save the Children fund!
Persuadee: What does the money go towards if I donate?
Persuader: When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.
Persuader: We ensure children's unique needs are met and their voices are heard.
Persuader: We deliver lasting results for millions of children, including those hardest to reach.
Persuader: We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future.
Persuadee: Where in the world are the children located?
Persuader: US and global, wherever children need help, they are there.
Persuadee: If I donate $25, does that go a long way?
Persuader: Absolutely, a small amount of money for us turns out to be life changing for those in need.
Persuader: A dollar can buy a lot!
Persuadee: Will it help towards education?
Persuader: Yes, it is one of the core programs.
Persuader: It leads children out of poverty so is a large focus.
Persuadee: Do you accept monthly donations of smaller amounts?
Persuader: You can do a one time donation or a monthly subscription. The conversation begins with ER making a direct appeal for donations, emphasizing the impact and importance of their work. EE responds with curiosity and seeks specific information about the allocation and impact of donations. ER consistently provides detailed and reassuring responses, highlighting the organization's global reach and the transformative power of donations. EE's inquiries suggest a growing interest, while ER maintains a persuasive and informative approach, ultimately presenting flexible donation options to accommodate EE's potential contribution.","assistant<|end_header_id|>

DONATION: YES",yes,yes,1,0.5
20180719-165941_192_live,scd,llama70b,False,"Persuader: Hello
Persuadee: Yea, hello.
Persuadee: Glad you took your time.
Persuader: I'd like to speak to you about Save the Children.
Persuader: Do you have any kids?
Persuadee: No, I do not have kids.
Persuadee: What is Save the Children about?
Persuader: Save the Children is an international non-governemnt organization.
Persuader: Their goal is to promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: That sounds really cool.
Persuadee: What specific countries do they help out?
Persuader: They help out many third world countries from all over the world.
Persuadee: Okay.
Persuadee: I guess I would look them up sometime to find out more.
Persuader: How do you feel about those who were unluckily born to poor circumstances?
Persuadee: I feel like it's a shame and I wish we could do more.
Persuadee: How can I help?
Persuader: You sound like a really kind person.
Persuader: Would you like to make a donation to Save the Children.
Persuader: Anything will help.
Persuadee: Thank you, I would like to make a 50 dollar donation but first.
Persuadee: Is there a website for this charity?
Persuader: Thank you!","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hello
Persuadee: Yea, hello.
Persuadee: Glad you took your time.
Persuader: I'd like to speak to you about Save the Children.
Persuader: Do you have any kids?
Persuadee: No, I do not have kids.
Persuadee: What is Save the Children about?
Persuader: Save the Children is an international non-governemnt organization.
Persuader: Their goal is to promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: That sounds really cool.
Persuadee: What specific countries do they help out?
Persuader: They help out many third world countries from all over the world.
Persuadee: Okay.
Persuadee: I guess I would look them up sometime to find out more.
Persuader: How do you feel about those who were unluckily born to poor circumstances?
Persuadee: I feel like it's a shame and I wish we could do more.
Persuadee: How can I help?
Persuader: You sound like a really kind person.
Persuader: Would you like to make a donation to Save the Children.
Persuader: Anything will help.
Persuadee: Thank you, I would like to make a 50 dollar donation but first.
Persuadee: Is there a website for this charity?
Persuader: Thank you! The conversation begins with a slightly tense exchange but quickly shifts to a more informative tone as ER introduces Save the Children. EE's curiosity grows, leading to a positive engagement with the topic. ER employs a persuasive strategy by appealing to EE's empathy and sense of kindness, which successfully encourages EE to consider a donation. The conversation ends on a cooperative note, with EE expressing willingness to contribute financially after seeking additional information.","assistant<|end_header_id|>

DONATION: YES",no,yes,0,0.0
20180719-181845_211_live,scd,llama70b,False,"Persuader: Hello!
Persuader: How're you doing today?
Persuadee: Hey, kind of tired but overall good.
Persuadee: How are you?
Persuader: I'm doing alright.
Persuader: I just had a thought on my mind that I wanted to ask you about
Persuadee: Yea?
Persuadee: Go for it.
Persuader: Do you donate when you get the chance?
Persuader: I was thinking about how everywhere you go, they ask you to donate .50 here and your change there.
Persuader: I think I need to actually start donating.
Persuader: How does it make you feel?
Persuader: Do you donate?
Persuadee: I don't like to donate to for profit businesses.
Persuadee: I feel like they'll just take my donation and get their tax credit.
Persuader: How do you feel about Save the Children?
Persuader: My nephew had to get taken into the hospital not too long ago and I just got the letter in the mail saying they used Save the Childrens donation money to help him.
Persuader: I'm thinking about donating to them.
Persuadee: I'm sorry to hear about your nephew?
Persuadee: What happened, if you don't mind me asking.
Persuader: We found out the hard way that he has actual celiacs (sorry I can't spell too well) and he has an allergic reaction to the cake on his birthday.
Persuader: He went through a TON of testing and that's how they caught it.
Persuader: He has to stay overnight at the hospital for a few weeks and his parents just couldn't afford it.
Persuader: That's when Save the Children came around to help
Persuadee: Oh my gosh.
Persuadee: I am so sorry to hear about the little guy and how his birthday, too.
Persuadee: How did Save the Children help?
Persuader: They helped cover the bills for it since he's in Africa.
Persuader: He's doing much better now though!
Persuadee: Oh wow.
Persuadee: All the way in Africa.
Persuadee: I'm really glad to hear that.","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hello!
Persuader: How're you doing today?
Persuadee: Hey, kind of tired but overall good.
Persuadee: How are you?
Persuader: I'm doing alright.
Persuader: I just had a thought on my mind that I wanted to ask you about
Persuadee: Yea?
Persuadee: Go for it.
Persuader: Do you donate when you get the chance?
Persuader: I was thinking about how everywhere you go, they ask you to donate .50 here and your change there.
Persuader: I think I need to actually start donating.
Persuader: How does it make you feel?
Persuader: Do you donate?
Persuadee: I don't like to donate to for profit businesses.
Persuadee: I feel like they'll just take my donation and get their tax credit.
Persuader: How do you feel about Save the Children?
Persuader: My nephew had to get taken into the hospital not too long ago and I just got the letter in the mail saying they used Save the Childrens donation money to help him.
Persuader: I'm thinking about donating to them.
Persuadee: I'm sorry to hear about your nephew?
Persuadee: What happened, if you don't mind me asking.
Persuader: We found out the hard way that he has actual celiacs (sorry I can't spell too well) and he has an allergic reaction to the cake on his birthday.
Persuader: He went through a TON of testing and that's how they caught it.
Persuader: He has to stay overnight at the hospital for a few weeks and his parents just couldn't afford it.
Persuader: That's when Save the Children came around to help
Persuadee: Oh my gosh.
Persuadee: I am so sorry to hear about the little guy and how his birthday, too.
Persuadee: How did Save the Children help?
Persuader: They helped cover the bills for it since he's in Africa.
Persuader: He's doing much better now though!
Persuadee: Oh wow.
Persuadee: All the way in Africa.
Persuadee: I'm really glad to hear that. The conversation begins with a casual exchange of greetings and well-being checks, with EE expressing mild fatigue. ER then shifts the discussion to a more serious topic about donating, sharing personal reflections and experiences. ER's narrative about their nephew's medical situation and the aid received from Save the Children evokes empathy from EE. Throughout, ER maintains a reflective and informative tone, while EE responds with concern and support, showing increasing engagement and emotional investment in the topic.","assistant<|end_header_id|>

DONATION: YES",no,yes,0,0.0
20180719-182453_233_live,scd,llama70b,False,"Persuader: Hello!
Persuadee: Hey
Persuader: So, are you interested in charities that help save the children?
Persuadee: Which children?
Persuader: What does the charity do exactly?
Persuader: Instead of the typical charities that help children in a far away land, we here use state of the art location technology to help children in need right in your own community so you can see your money at work personally
Persuadee: What would my money do exactly
Persuader: It would go to the three most important things that a child need.
Persuader: Food, shelter, and education.
Persuader: The majority of your donation would go towards education as that is often the most difficult to provide for the children
Persuadee: How would I know that the money is actually being used to help children and not just pocketed by the people that run the c harity
Persuader: We are completely transparent with our records, when you donate you will be given an account so you can track where every bit of your money goes, from your account all the way to the community.
Persuadee: Okay, that sounds reasonable
Persuader: We appreciate your willingness to donate to this local cause, how much of a gratuity will you be offering today?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hello!
Persuadee: Hey
Persuader: So, are you interested in charities that help save the children?
Persuadee: Which children?
Persuader: What does the charity do exactly?
Persuader: Instead of the typical charities that help children in a far away land, we here use state of the art location technology to help children in need right in your own community so you can see your money at work personally
Persuadee: What would my money do exactly
Persuader: It would go to the three most important things that a child need.
Persuader: Food, shelter, and education.
Persuader: The majority of your donation would go towards education as that is often the most difficult to provide for the children
Persuadee: How would I know that the money is actually being used to help children and not just pocketed by the people that run the c harity
Persuader: We are completely transparent with our records, when you donate you will be given an account so you can track where every bit of your money goes, from your account all the way to the community.
Persuadee: Okay, that sounds reasonable
Persuader: We appreciate your willingness to donate to this local cause, how much of a gratuity will you be offering today? The conversation begins with ER introducing a charity initiative and EE expressing curiosity but also skepticism. ER employs a strategy of emphasizing transparency and local impact to address EE's concerns. Initially, EE is cautious, questioning the charity's operations and financial integrity. As ER provides detailed explanations and reassurances about transparency and the allocation of funds, EE's skepticism diminishes, leading to a more open and agreeable stance. The conversation concludes with ER prompting a commitment from EE.","assistant<|end_header_id|>

DONATION: YES",no,yes,0,0.0
20180719-204358_391_live,scd,llama70b,False,"Persuader: Hey there, glad we can talk tonight.
Persuadee: Hello, same!
Persuader: I'd like to talk to you about something that's very dear to me.
Persuader: Do you have a moment?
Persuadee: Yeah, totally.
Persuadee: Go ahead
Persuader: What was it like for you growing up?
Persuader: Were your basic needs met like food, place to live, water, etc?
Persuadee: Well, I grew up in a wealthy house.
Persuadee: My mother and father both have a PhD so their jobs made possible for us to be able to cover all that and so much more
Persuader: You are very lucky.
Persuader: I wish all kids could have that kind of opportunity.
Persuadee: So do I, I feel kind of guilty to being able to have all that and they are kids out there who don't have not a single one of all of those basic things
Persuader: No need to feel guilty.
Persuader: People don't have a choice of who or where they are born to.
Persuader: Those of us who got lucky, can always lend a hand in our own ways.
Persuader: What do you think?
Persuadee: I totally agree, I think if you can, you should help others in need
Persuader: I'd like to tell you about an organization called Save the Children.
Persuader: Have you heard about them?
Persuadee: Not really, please tell me anything!","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hey there, glad we can talk tonight.
Persuadee: Hello, same!
Persuader: I'd like to talk to you about something that's very dear to me.
Persuader: Do you have a moment?
Persuadee: Yeah, totally.
Persuadee: Go ahead
Persuader: What was it like for you growing up?
Persuader: Were your basic needs met like food, place to live, water, etc?
Persuadee: Well, I grew up in a wealthy house.
Persuadee: My mother and father both have a PhD so their jobs made possible for us to be able to cover all that and so much more
Persuader: You are very lucky.
Persuader: I wish all kids could have that kind of opportunity.
Persuadee: So do I, I feel kind of guilty to being able to have all that and they are kids out there who don't have not a single one of all of those basic things
Persuader: No need to feel guilty.
Persuader: People don't have a choice of who or where they are born to.
Persuader: Those of us who got lucky, can always lend a hand in our own ways.
Persuader: What do you think?
Persuadee: I totally agree, I think if you can, you should help others in need
Persuader: I'd like to tell you about an organization called Save the Children.
Persuader: Have you heard about them?
Persuadee: Not really, please tell me anything! The conversation begins with a friendly and open tone, as both speakers express eagerness to engage. ER introduces a personal topic, prompting EE to reflect on their privileged upbringing. As ER empathizes with EE's feelings of guilt, they shift the discussion towards action, suggesting that those who are fortunate can help others. EE agrees with this sentiment, and ER seizes the opportunity to introduce an organization, indicating a persuasive strategy to engage EE in a cause.","assistant<|end_header_id|>

DONATION: YES

Reasoning:

* The persuadee (EE) has shown empathy and agreement with the persuader's (ER) message, acknowledging their privileged upbringing and expressing a desire to help others.
* EE's response to the organization introduction is positive, indicating curiosity and openness to learning more.
* The conversation has created a sense of shared values and moral obligation, increasing the likelihood of EE feeling motivated to take action.
* ER has skillfully navigated the conversation, moving from a personal connection to a broader social issue, and finally to a specific organization, creating a clear call-to-action.
* The persuadee's tone and language suggest a willingness to engage with the cause, making a donation on the spot a plausible outcome.",no,yes,0,0.0
20180719-211253_768_live,scd,llama70b,False,"Persuader: Hey, good to be chatting with you tonight.
Persuadee: Hi!
Persuadee: Looking forward chatting with you too.
Persuader: I'd like to talk to use about a vulnerable group.
Persuader: Do you have a moment?
Persuadee: Yes, I do
Persuader: I'd like to talk about children.
Persuader: What was life like for you growing up?
Persuader: Did you have to worry about your basic needs at all?
Persuader: Like food, place to live, safety, etc?
Persuadee: There were periods in my childhood when money was very short and we had our telephone or power cut off, but I always had a safe place to live and food to eat.
Persuader: It is really difficult having to grow up having to worry about basic needs.
Persuader: I'm glad you are able to look for what to be grateful for.
Persuadee: What was life like for you growing up?
Persuadee: Did you have any worries about food, shelter, safety, etc.?
Persuader: I guess there are more people than we know who grew up with no worries.
Persuader: I grew up worrying about my safety and whether I'd have a place to live.
Persuader: My dad was a gambling addict.
Persuadee: I don't have any experiences like that but I'm sure it must have been very difficult and scary to go through that as a child.
Persuader: Thank you.
Persuader: I really appreciate your sympathizing, and I'm glad I got to share that with someone.
Persuadee: Did you ever use the services of any organizations for children to help you through the rough times?
Persuader: No I didn't, but I now donate to them.
Persuader: What about you?
Persuadee: No, I didn't either.
Persuadee: My family would just get through somehow.
Persuadee: I have made donations in the past, but our money is bit tight since I'm a stay-at-home mom right now.
Persuadee: If I make donations now, they are in-kind donations rather than monetary donations.
Persuadee: What organizations do you donate to?","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Hey, good to be chatting with you tonight.
Persuadee: Hi!
Persuadee: Looking forward chatting with you too.
Persuader: I'd like to talk to use about a vulnerable group.
Persuader: Do you have a moment?
Persuadee: Yes, I do
Persuader: I'd like to talk about children.
Persuader: What was life like for you growing up?
Persuader: Did you have to worry about your basic needs at all?
Persuader: Like food, place to live, safety, etc?
Persuadee: There were periods in my childhood when money was very short and we had our telephone or power cut off, but I always had a safe place to live and food to eat.
Persuader: It is really difficult having to grow up having to worry about basic needs.
Persuader: I'm glad you are able to look for what to be grateful for.
Persuadee: What was life like for you growing up?
Persuadee: Did you have any worries about food, shelter, safety, etc.?
Persuader: I guess there are more people than we know who grew up with no worries.
Persuader: I grew up worrying about my safety and whether I'd have a place to live.
Persuader: My dad was a gambling addict.
Persuadee: I don't have any experiences like that but I'm sure it must have been very difficult and scary to go through that as a child.
Persuader: Thank you.
Persuader: I really appreciate your sympathizing, and I'm glad I got to share that with someone.
Persuadee: Did you ever use the services of any organizations for children to help you through the rough times?
Persuader: No I didn't, but I now donate to them.
Persuader: What about you?
Persuadee: No, I didn't either.
Persuadee: My family would just get through somehow.
Persuadee: I have made donations in the past, but our money is bit tight since I'm a stay-at-home mom right now.
Persuadee: If I make donations now, they are in-kind donations rather than monetary donations.
Persuadee: What organizations do you donate to? The conversation begins with a friendly and open tone as ER and EE express eagerness to engage. ER introduces a topic of mutual interest, focusing on personal experiences and vulnerabilities from childhood. Both speakers share personal anecdotes, fostering empathy and understanding. ER appreciates EE's empathy, and the conversation shifts towards discussing charitable actions. EE shares current financial constraints, maintaining a supportive tone. The dialogue remains empathetic and reflective, with both speakers expressing a willingness to help others despite personal challenges.","assistant<|end_header_id|>

DONATION: NO",yes,no,0,0.5
20180719-211301_463_live,scd,llama70b,False,"Persuader: Have you heard of the Save The Children Foundation?
Persuadee: No, I have not.
Persuadee: Can you tell me about it?
Persuader: They ensure children's rights to health, education, safety, etc.
Persuadee: Is it just in one country, or do they work around the world?
Persuader: Yes.
Persuader: For example, the child refugees from Syria.
Persuader: In the first two months of this year, 1000 kids were killed in Syria.
Persuader: Crazy.
Persuadee: That's so sad.
Persuadee: I wish I could do something to help.
Persuader: Have you ever donated to a charity?
Persuadee: Yeah, a few local charities.
Persuadee: Like our animal shelter, a low income housing group, foster care organziations, etc
Persuader: That's very nice of you.
Persuader: If you'd like to get a better idea of what Save The Children does, and how to possibly donate, you can visit their website at  URL
Persuadee: I'll definitely check them out.
Persuadee: Any organization that helps kids is one worth supporting, either with my own time or with money.
Persuader: I feel the same way.
Persuader: How much would you be willing to donate to Save the Children?
Persuadee: I can't afford a lot right now because I have other bills, but I could probably do $5 now with more next month.
Persuader: That's great!
Persuader: And generous.
Persuader: Thank you.
Persuader: That will make a huge impact.
Persuadee: It feels like so little, but if a lot of people do just a little bit, it really adds up!","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: Have you heard of the Save The Children Foundation?
Persuadee: No, I have not.
Persuadee: Can you tell me about it?
Persuader: They ensure children's rights to health, education, safety, etc.
Persuadee: Is it just in one country, or do they work around the world?
Persuader: Yes.
Persuader: For example, the child refugees from Syria.
Persuader: In the first two months of this year, 1000 kids were killed in Syria.
Persuader: Crazy.
Persuadee: That's so sad.
Persuadee: I wish I could do something to help.
Persuader: Have you ever donated to a charity?
Persuadee: Yeah, a few local charities.
Persuadee: Like our animal shelter, a low income housing group, foster care organziations, etc
Persuader: That's very nice of you.
Persuader: If you'd like to get a better idea of what Save The Children does, and how to possibly donate, you can visit their website at  URL
Persuadee: I'll definitely check them out.
Persuadee: Any organization that helps kids is one worth supporting, either with my own time or with money.
Persuader: I feel the same way.
Persuader: How much would you be willing to donate to Save the Children?
Persuadee: I can't afford a lot right now because I have other bills, but I could probably do $5 now with more next month.
Persuader: That's great!
Persuader: And generous.
Persuader: Thank you.
Persuader: That will make a huge impact.
Persuadee: It feels like so little, but if a lot of people do just a little bit, it really adds up! The conversation begins with ER introducing the Save The Children Foundation to EE, who is initially unaware of it. ER provides information about the foundation's global efforts and highlights a specific humanitarian issue to evoke empathy. EE expresses a desire to help and shares previous charitable activities. ER encourages EE to consider supporting the foundation, leading to EE's commitment to make a small donation. The conversation maintains a positive and supportive tone, with ER affirming EE's contributions and reinforcing the impact of collective small efforts.","assistant<|end_header_id|>

DONATION: YES",no,yes,0,0.0
20180719-211846_176_live,scd,llama70b,False,"Persuader: hi, how are you?
Persuadee: I'm doing well thank you
Persuader: that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East
Persuadee: That is absolutely terrible.
Persuadee: Are there any good charities that are helping on this issue?
Persuader: I recently read from an organization called Save a Children, which works hard to protect these children and needs financial help to continue
Persuadee: How can someone help?
Persuadee: I would be willing to donate my time and perhaps some money.
Persuader: you can help by donating what you can, you can even help with your win in mturk, I think these children need us now
Persuadee: How exactly does the money help the cause?
Persuadee: What's it spent on?
Persuader: is super important, help children who live the harsh reality of war, fewer and fewer people help, the money goes to the education, health and safety of these children.
Persuader: how much would you be willing to donate your payment?
Persuadee: I'd be willing to donate a dollar or two
Persuader: eso estaria muy bien, entre todos podemos ayudar, la mayoria de los demas trabajadores  donaran todo su pago, estos ni??Â¸?Â£?os estaran agradecidos
Persuadee: Perfect.
Persuadee: How do I donate then?
Persuader: The research team will collect all donations and send them to Save the Children, you will be deducted from your payment for this task","You are helping analyze a persuasion conversation. Predict whether the persuadee will make a donation on the spot at the end of this conversation. Provide your answer in the format 'DONATION: YES/NO'

Conversation:
Persuader: hi, how are you?
Persuadee: I'm doing well thank you
Persuader: that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East
Persuadee: That is absolutely terrible.
Persuadee: Are there any good charities that are helping on this issue?
Persuader: I recently read from an organization called Save a Children, which works hard to protect these children and needs financial help to continue
Persuadee: How can someone help?
Persuadee: I would be willing to donate my time and perhaps some money.
Persuader: you can help by donating what you can, you can even help with your win in mturk, I think these children need us now
Persuadee: How exactly does the money help the cause?
Persuadee: What's it spent on?
Persuader: is super important, help children who live the harsh reality of war, fewer and fewer people help, the money goes to the education, health and safety of these children.
Persuader: how much would you be willing to donate your payment?
Persuadee: I'd be willing to donate a dollar or two
Persuader: eso estaria muy bien, entre todos podemos ayudar, la mayoria de los demas trabajadores  donaran todo su pago, estos ni??Â¸?Â£?os estaran agradecidos
Persuadee: Perfect.
Persuadee: How do I donate then?
Persuader: The research team will collect all donations and send them to Save the Children, you will be deducted from your payment for this task The conversation begins with a neutral exchange of pleasantries before quickly shifting to a serious tone as ER introduces a humanitarian issue. EE responds with concern and expresses a willingness to help, asking for ways to contribute. ER provides information about a charity and suggests donation methods, maintaining a persuasive and urgent tone. EE remains receptive and engaged, asking practical questions about the impact of donations and ultimately agreeing to contribute, indicating a collaborative and supportive sentiment.","assistant<|end_header_id|>

DONATION: YES",no,yes,0,0.0
